window_days,start,end,v18_return,v21_return,delta_return,v18_dd,v21_dd,delta_dd,v18_sharpe,v21_sharpe,v18_entries,v21_entries,v21_early
120,2025-12-26T10:30:00+00:00,2026-04-25T10:30:00+00:00,2.6129082282549496,2.09209490904497,-0.5208133192099798,-0.26148804341300447,-0.2653076867310814,-0.0038196433180769374,5.110712501470368,4.588813035681993,97,99,5
120,2026-01-02T10:30:00+00:00,2026-05-02T10:30:00+00:00,1.8140334609441164,1.7438636300823718,-0.07016983086174466,-0.2724712937645487,-0.2163428338431722,0.056128459921376495,4.347462001513949,4.263358401864705,97,101,8
120,2026-01-09T10:30:00+00:00,2026-05-09T10:30:00+00:00,2.603353672730551,2.2580400488805963,-0.3453136238499548,-0.2049153147767223,-0.20645835482088226,-0.001543040044159949,5.077376511155896,4.761595927376659,95,98,7
120,2026-01-16T10:30:00+00:00,2026-05-16T10:30:00+00:00,3.4450695830623506,3.2188517617138785,-0.22621782134847201,-0.21389232438566597,-0.20645835482088204,0.0074339695647839266,5.693834000589651,5.619874631631474,100,103,8
150,2025-05-30T10:30:00+00:00,2025-10-27T10:30:00+00:00,0.845592811811027,1.7499381441625177,0.9043453323514907,-0.2534393181504656,-0.23734731955327226,0.016091998597193347,2.412256784465991,3.7503986018562143,132,136,11
150,2025-06-06T10:30:00+00:00,2025-11-03T10:30:00+00:00,1.486301472709699,2.704595734192697,1.2182942614829981,-0.2534393181504656,-0.23734731955327226,0.016091998597193347,3.3307596265880584,4.631199312969906,141,145,11
150,2025-06-13T10:30:00+00:00,2025-11-10T10:30:00+00:00,1.2027190603922793,2.5874697289362896,1.3847506685440103,-0.2534393181504626,-0.23734731955327415,0.01609199859718846,2.988902100866227,4.582611355543504,141,146,11
150,2025-06-20T10:30:00+00:00,2025-11-17T10:30:00+00:00,1.0325752423744312,2.0843722878575104,1.0517970454830792,-0.2534393181504626,-0.2373473195532726,0.016091998597190016,2.7081803734023793,4.0717610317786175,144,149,12
150,2025-06-27T10:30:00+00:00,2025-11-24T10:30:00+00:00,0.9695455830955138,2.032791789864641,1.063246206769127,-0.2534393181504656,-0.23734731955327393,0.01609199859719168,2.624754307813335,4.051895055577488,142,147,12
150,2025-07-04T10:30:00+00:00,2025-12-01T10:30:00+00:00,1.022182073936734,2.0746164814643646,1.0524344075276306,-0.25343931815046583,-0.2373473195532736,0.016091998597192236,2.6811384877201867,4.043633265730921,144,149,12
150,2025-07-11T10:30:00+00:00,2025-12-08T10:30:00+00:00,1.3012632249505471,2.551117634470015,1.2498544095194677,-0.25343931815046516,-0.23734731955327293,0.016091998597192236,3.0658942104461326,4.4503155088721185,147,152,12
150,2025-07-18T10:30:00+00:00,2025-12-15T10:30:00+00:00,1.143990429910175,1.8693408021852096,0.7253503722750345,-0.2534393181504643,-0.23734731955327315,0.016091998597191126,2.9064891586422745,3.862832389013837,146,150,11
150,2025-07-25T10:30:00+00:00,2025-12-22T10:30:00+00:00,0.6533234878160263,0.8738320568348452,0.22050856901881888,-0.2534393181504607,-0.23734731955327515,0.016091998597185575,2.098736197939006,2.525714490567989,145,149,10
150,2025-08-01T10:30:00+00:00,2025-12-29T10:30:00+00:00,0.7853465295504483,1.3442718397629534,0.5589253102125051,-0.25343931815046494,-0.23734731955327304,0.016091998597191903,2.375591368225494,3.302293836990035,143,147,10
150,2025-08-08T10:30:00+00:00,2026-01-05T10:30:00+00:00,0.49479844464706035,0.9579805373062955,0.46318209265923516,-0.25343931815046394,-0.23734731955327393,0.016091998597190016,1.7378297559301086,2.6484877847426196,143,147,10
150,2025-08-15T10:30:00+00:00,2026-01-12T10:30:00+00:00,0.5265260645463483,1.0092848942921622,0.48275882974581386,-0.25343931815046405,-0.23734731955327226,0.016091998597191792,1.7951391488435071,2.7099569193724045,140,143,9
150,2025-08-22T10:30:00+00:00,2026-01-19T10:30:00+00:00,0.578783028202271,0.8140511129821186,0.23526808477984762,-0.2534393181504634,-0.23734731955327293,0.01609199859719046,1.9369065091804027,2.3898048238258434,138,141,8
150,2025-08-29T10:30:00+00:00,2026-01-26T10:30:00+00:00,0.4496591828770671,0.6656854090567321,0.21602622617966505,-0.23926468556862102,-0.23734731955327393,0.0019173660153470884,1.6465804788233114,2.1072311673217463,135,138,8
