parameter,value,name,return,max_dd,calmar,risk_score,sharpe,trades,late_trades,win_rate,avg_trade_pct,median_trade_pct,best_trade_pct,worst_trade_pct,avg_hold_bars,exit_reasons,return_delta,max_dd_delta,sharpe_delta,trades_delta,win_rate_delta
min_prev_pnl,-0.01,V14__min_prev_pnl=-0.01,21.919177103470986,-0.24655341994276858,88.90234460572071,21.426070263585448,4.298150318564434,33,6,0.8181818181818182,0.11026463227183454,0.0998102340136185,0.5920380316936312,-0.1223496346958749,122.06060606060606,"{'warning_confirm_volume': 25, 'hard_swing96': 7, 'stop_loss': 1}",0.0,0.0,0.0,0,0.0
min_prev_pnl,0.01,V14__min_prev_pnl=0.01,21.919177103470986,-0.24655341994276858,88.90234460572071,21.426070263585448,4.298150318564434,33,6,0.8181818181818182,0.11026463227183454,0.0998102340136185,0.5920380316936312,-0.1223496346958749,122.06060606060606,"{'warning_confirm_volume': 25, 'hard_swing96': 7, 'stop_loss': 1}",0.0,0.0,0.0,0,0.0
min_prev_pnl,0.03,V14__min_prev_pnl=0.03,21.919177103470986,-0.24655341994276858,88.90234460572071,21.426070263585448,4.298150318564434,33,6,0.8181818181818182,0.11026463227183454,0.0998102340136185,0.5920380316936312,-0.1223496346958749,122.06060606060606,"{'warning_confirm_volume': 25, 'hard_swing96': 7, 'stop_loss': 1}",0.0,0.0,0.0,0,0.0
min_prev_mfe_atr,2.0,V14__min_prev_mfe_atr=2.0,21.919177103470986,-0.24655341994276858,88.90234460572071,21.426070263585448,4.298150318564434,33,6,0.8181818181818182,0.11026463227183454,0.0998102340136185,0.5920380316936312,-0.1223496346958749,122.06060606060606,"{'warning_confirm_volume': 25, 'hard_swing96': 7, 'stop_loss': 1}",0.0,0.0,0.0,0,0.0
min_prev_mfe_atr,3.0,V14__min_prev_mfe_atr=3.0,21.919177103470986,-0.24655341994276858,88.90234460572071,21.426070263585448,4.298150318564434,33,6,0.8181818181818182,0.11026463227183454,0.0998102340136185,0.5920380316936312,-0.1223496346958749,122.06060606060606,"{'warning_confirm_volume': 25, 'hard_swing96': 7, 'stop_loss': 1}",0.0,0.0,0.0,0,0.0
min_prev_mfe_atr,5.0,V14__min_prev_mfe_atr=5.0,21.919177103470986,-0.24655341994276858,88.90234460572071,21.426070263585448,4.298150318564434,33,6,0.8181818181818182,0.11026463227183454,0.0998102340136185,0.5920380316936312,-0.1223496346958749,122.06060606060606,"{'warning_confirm_volume': 25, 'hard_swing96': 7, 'stop_loss': 1}",0.0,0.0,0.0,0,0.0
min_prev_mfe_atr,6.0,V14__min_prev_mfe_atr=6.0,21.919177103470986,-0.24655341994276858,88.90234460572071,21.426070263585448,4.298150318564434,33,6,0.8181818181818182,0.11026463227183454,0.0998102340136185,0.5920380316936312,-0.1223496346958749,122.06060606060606,"{'warning_confirm_volume': 25, 'hard_swing96': 7, 'stop_loss': 1}",0.0,0.0,0.0,0,0.0
min_prev_mfe_atr,8.0,V14__min_prev_mfe_atr=8.0,21.919177103470986,-0.24655341994276858,88.90234460572071,21.426070263585448,4.298150318564434,33,6,0.8181818181818182,0.11026463227183454,0.0998102340136185,0.5920380316936312,-0.1223496346958749,122.06060606060606,"{'warning_confirm_volume': 25, 'hard_swing96': 7, 'stop_loss': 1}",0.0,0.0,0.0,0,0.0
warning_source,either,V14__warning_source=either,21.919177103470986,-0.24655341994276858,88.90234460572071,21.426070263585448,4.298150318564434,33,6,0.8181818181818182,0.11026463227183454,0.0998102340136185,0.5920380316936312,-0.1223496346958749,122.06060606060606,"{'warning_confirm_volume': 25, 'hard_swing96': 7, 'stop_loss': 1}",0.0,0.0,0.0,0,0.0
confirm_mode,ema21_or_donchian,V14__confirm_mode=ema21_or_donchian,21.919177103470986,-0.24655341994276858,88.90234460572071,21.426070263585448,4.298150318564434,33,6,0.8181818181818182,0.11026463227183454,0.0998102340136185,0.5920380316936312,-0.1223496346958749,122.06060606060606,"{'warning_confirm_volume': 25, 'hard_swing96': 7, 'stop_loss': 1}",0.0,0.0,0.0,0,0.0
confirm_window,48,V14__confirm_window=48,21.919177103470986,-0.24655341994276858,88.90234460572071,21.426070263585448,4.298150318564434,33,6,0.8181818181818182,0.11026463227183454,0.0998102340136185,0.5920380316936312,-0.1223496346958749,122.06060606060606,"{'warning_confirm_volume': 25, 'hard_swing96': 7, 'stop_loss': 1}",0.0,0.0,0.0,0,0.0
