parameter,value,name,return,max_dd,sharpe,trades,win_rate,avg_trade_pct,median_trade_pct,best_trade_pct,worst_trade_pct,avg_hold_bars,exit_reasons,fitness,return_delta,max_dd_delta,sharpe_delta,trades_delta
reentry_mode,breakout48,V12_4_age128__reentry_mode=breakout48,4.694694948558048,-0.2957522516740172,3.1523294740687438,23,0.8260869565217391,0.08772560908796419,0.07283078417800604,0.37137547583936886,-0.144563902827127,108.21739130434783,"{'warning_confirm_volume': 17, 'hard_swing96': 5, 'stop_loss': 1}",4.251066571047023,-7.889568078514847,-0.001034089593745291,-0.7827698722065235,-5
reentry_mode,breakout96,V12_4_age128__reentry_mode=breakout96,4.694694948558048,-0.2957522516740172,3.1523294740687438,23,0.8260869565217391,0.08772560908796419,0.07283078417800604,0.37137547583936886,-0.144563902827127,108.21739130434783,"{'warning_confirm_volume': 17, 'hard_swing96': 5, 'stop_loss': 1}",4.251066571047023,-7.889568078514847,-0.001034089593745291,-0.7827698722065235,-5
confirm_mode,ema55_or_donchian,V12_4_age128__confirm_mode=ema55_or_donchian,4.158041393083582,-0.3107346301186167,2.5867976633139067,24,0.7083333333333334,0.08649391820066558,0.07532551625586041,0.8056061432443989,-0.144563902827127,141.04166666666666,"{'hard_swing96': 7, 'warning_confirm_volume': 15, 'stop_loss': 2}",3.6919394479056566,-8.426221633989314,-0.016016468038344778,-1.3483016829613605,-4
confirm_mode,ema55,V12_4_age128__confirm_mode=ema55,3.962711154088855,-0.31073463011861713,2.5336012680896958,24,0.7083333333333334,0.08485918714335768,0.07532551625586041,0.8056061432443989,-0.144563902827127,141.33333333333334,"{'hard_swing96': 7, 'warning_confirm_volume': 15, 'stop_loss': 2}",3.4966092089109293,-8.621551872984039,-0.016016468038345222,-1.4014980781855715,-4
segment_bars,2,V12_4_age128__segment_bars=2,3.8034080733727986,-0.2947181620802709,3.0448006768966196,28,0.75,0.06669419105614272,0.046254498923494765,0.46748999857471724,-0.144563902827127,74.89285714285714,"{'warning_confirm_volume': 12, 'segment_adx': 14, 'stop_loss': 2}",3.3613308302523923,-8.780854953700096,9.992007221626409e-16,-0.8902986693786477,0
segment_exit_mode,adx18,V12_4_age128__segment_exit_mode=adx18,3.6617801345317336,-0.2947181620802716,2.9843866164519013,28,0.75,0.06567304389073482,0.04456845180846382,0.46748999857471724,-0.144563902827127,75.39285714285714,"{'warning_confirm_volume': 12, 'segment_adx': 14, 'stop_loss': 2}",3.2197028914113264,-8.922482892541161,3.3306690738754696e-16,-0.950712729823366,0
segment_adx,18.0,V12_4_age128__segment_adx=18.0,3.6617801345317336,-0.2947181620802716,2.9843866164519013,28,0.75,0.06567304389073482,0.04456845180846382,0.46748999857471724,-0.144563902827127,75.39285714285714,"{'warning_confirm_volume': 12, 'segment_adx': 14, 'stop_loss': 2}",3.2197028914113264,-8.922482892541161,3.3306690738754696e-16,-0.950712729823366,0
segment_bars,3,V12_4_age128__segment_bars=3,3.6617801345317336,-0.2947181620802716,2.9843866164519013,28,0.75,0.06567304389073482,0.04456845180846382,0.46748999857471724,-0.144563902827127,75.39285714285714,"{'warning_confirm_volume': 12, 'segment_adx': 14, 'stop_loss': 2}",3.2197028914113264,-8.922482892541161,3.3306690738754696e-16,-0.950712729823366,0
confirm_mode,ema96,V12_4_age128__confirm_mode=ema96,3.4979917997507144,-0.33303623480257283,2.2887054526061217,24,0.625,0.08220428970486517,0.04946303343082545,0.7699654101789007,-0.144563902827127,161.45833333333334,"{'hard_swing96': 9, 'warning_confirm_volume': 13, 'stop_loss': 2}",2.998437447546855,-9.08627122732218,-0.03831807272230092,-1.6463938936691456,-4
confirm_mode,donchian,V12_4_age128__confirm_mode=donchian,3.1999590086460987,-0.3107346301186168,2.258772056413476,24,0.5833333333333334,0.07877301345039277,0.04198766051151838,0.8056061432443989,-0.144563902827127,153.0,"{'hard_swing96': 10, 'warning_confirm_volume': 12, 'stop_loss': 2}",2.7338570634681734,-9.384304018426796,-0.01601646803834489,-1.6763272898617911,-4
