spec,entry_ts,exit_ts,direction,side,entry_price,exit_price,allocation,raw_pnl_pct,pnl_pct,hold_bars,mfe_atr,warning_reason,exit_reason,equity_after
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-12-03 06:30:00+00:00,2025-12-04 04:30:00+00:00,1,long,34.701342,35.330326,1.9630336637415968,0.018125639060299292,0.035581239652197116,88,5.259743870522536,volume,warning_confirm_volume,3.0873989309189773
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-12-05 11:45:00+00:00,2025-12-05 20:15:00+00:00,-1,short,31.957013500000002,31.2346095,1.5856391527585947,0.022605491592635918,0.03584415253663875,34,5.326881313604804,volume,warning_confirm_volume,3.185498814115336
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-12-05 23:45:00+00:00,2025-12-07 12:15:00+00:00,-1,short,30.922531,30.0280065,1.5525189701246536,0.028927919904098376,0.04491114441735928,146,6.417606319681694,volume,warning_confirm_volume,3.3123071532491966
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-12-29 01:15:00+00:00,2025-12-30 09:00:00+00:00,1,long,25.9019445,26.0239815,2.816378192415104,0.00471149955556438,0.013269364601864975,127,5.409809459846023,volume,warning_confirm_volume,3.3188604190345385
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-01-04 22:15:00+00:00,2026-01-05 02:30:00+00:00,1,long,26.5142505,26.4437715,2.66193314523814,-0.002658155470017909,-0.007075832150836739,17,5.54532478236948,volume,warning_confirm_volume,3.275301032456382
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-01-05 02:45:00+00:00,2026-01-06 17:45:00+00:00,1,long,26.4121995,27.031477500000005,2.6203303822826185,0.023446665242703668,0.06143800929866629,156,6.744981376911229,volume,warning_confirm_volume,3.431401209399826
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-01-10 09:15:00+00:00,2026-01-11 01:00:00+00:00,-1,short,24.573707,24.130058999999996,1.8194256229549457,0.018053767793357434,0.032847487714113284,63,4.350916890806423,volume,warning_confirm_volume,3.5324227022505164
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-01-12 16:15:00+00:00,2026-01-13 20:00:00+00:00,-1,short,23.585201500000004,25.12377282657641,1.9473819004683626,-0.06523460597003616,-0.12703669095023382,112,1.9120468194694726,,stop_loss,3.100797073019644
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-01-14 04:00:00+00:00,2026-01-14 18:00:00+00:00,1,long,26.079033,26.135925500000003,2.7624230644127934,0.0021815417772586,0.006026341321479233,56,5.329135974125216,volume,warning_confirm_volume,3.096503778812259
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-01-19 02:15:00+00:00,2026-01-20 20:30:00+00:00,-1,short,23.934027000000004,21.809899499999997,2.1494177988093406,0.0887492731582532,0.1907592673577415,169,18.96847072090469,volume,warning_confirm_volume,3.7259325375086263
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-01-20 22:45:00+00:00,2026-01-21 14:15:00+00:00,-1,short,21.3523185,21.1975935,1.9351534676821456,0.007246285690240106,0.01402267488128365,62,5.511050733292766,volume,warning_confirm_volume,3.7468427304578817
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-01-26 21:45:00+00:00,2026-01-27 11:00:00+00:00,1,long,24.696342,27.2153855,2.380097434977579,0.10200067281219205,0.24277153972628557,53,20.38716863431723,volume,warning_confirm_volume,4.681289410542331
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-01-27 11:15:00+00:00,2026-01-27 13:15:00+00:00,1,long,27.517752,27.476255,2.451805455600697,-0.0015080083576595182,-0.003697343118401054,8,4.356096916166901,volume,warning_confirm_volume,4.641305597152553
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-01-27 14:15:00+00:00,2026-01-27 17:30:00+00:00,1,long,27.543765,27.550218,2.438531279347558,0.00023428169678330057,0.0005713032457846987,13,7.725801830332214,volume,warning_confirm_volume,4.613254559039808
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-01-27 17:45:00+00:00,2026-01-28 06:00:00+00:00,1,long,27.545765999999997,32.7646095,2.389757685352622,0.18946082312613854,0.4527654581389234,49,36.52007992387171,volume,warning_confirm_volume,6.90305575117001
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-01-28 06:15:00+00:00,2026-01-29 22:30:00+00:00,1,long,32.878431,30.98129663171443,2.5161583523831905,-0.05770148728464475,-0.14518607917619133,162,9.425373066573234,,stop_loss,5.742790075814578
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-02-03 04:15:00+00:00,2026-02-03 15:15:00+00:00,1,long,38.435207999999996,34.066345779686515,1.2718056542542382,-0.113668234091864,-0.144563902827127,45,0.0,,stop_loss,4.911248635991762
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-02-23 03:30:00+00:00,2026-02-23 21:00:00+00:00,-1,short,26.9155355,26.4402135,2.1086505031336604,0.017659763819300678,0.03723826986278999,70,7.288918798333979,volume,warning_confirm_volume,5.054129120109033
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-02-25 23:45:00+00:00,2026-02-26 11:30:00+00:00,1,long,27.654820499999996,28.5667095,2.399479941548323,0.03297396198973712,0.07912036038775104,47,9.39874443714245,volume,warning_confirm_volume,5.425645134662747
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-02-28 21:15:00+00:00,2026-03-01 01:15:00+00:00,1,long,30.363173999999997,30.212886000000005,2.2821924997552143,-0.0049496801618958974,-0.011296122941665992,16,4.870695749625849,volume,warning_confirm_volume,5.339343493905417
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-03-01 01:30:00+00:00,2026-03-01 06:45:00+00:00,1,long,30.341162999999998,30.825579500000003,2.2260197844059566,0.015965653656717205,0.0355398609108258,21,5.483385765660731,volume,warning_confirm_volume,5.504698436231714
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-03-01 09:00:00+00:00,2026-03-01 17:00:00+00:00,1,long,30.526255499999998,30.96451,2.1469237132834182,0.01435664128540104,0.030822613618731225,32,5.827508685115898,volume,warning_confirm_volume,5.647303565712249
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-03-09 15:15:00+00:00,2026-03-10 00:15:00+00:00,1,long,32.8214025,34.481750500000004,2.190272915256553,0.05058735683217708,0.110800117523936,36,10.604708388545058,volume,warning_confirm_volume,6.247012298882513
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-03-10 00:30:00+00:00,2026-03-11 18:00:00+00:00,1,long,34.2000915,36.029976000000005,2.261576710786214,0.05350525158682706,0.12100623089352522,166,11.571986320439327,volume,warning_confirm_volume,6.959284205309308
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-03-16 12:15:00+00:00,2026-03-17 00:45:00+00:00,1,long,39.392686499999996,40.36880550000001,2.380901071954827,0.024779193467802996,0.058996808289668204,50,7.748859853505771,volume,warning_confirm_volume,7.326989802574736
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-03-17 02:15:00+00:00,2026-03-17 08:45:00+00:00,1,long,40.505242499999994,40.908535500000006,2.480269397104323,0.009956563030082188,0.024694958583853142,26,4.06725886129601,volume,warning_confirm_volume,7.4685512985297535
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-04-06 04:15:00+00:00,2026-04-08 11:45:00+00:00,1,long,37.1555685,39.1034385,3.0,0.05242471259725168,0.15727413779175503,222,14.040379430289457,volume,warning_confirm_volume,8.578023733961144
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-04-08 13:00:00+00:00,2026-04-08 18:30:00+00:00,1,long,39.677828999999996,38.08573654753347,3.0,-0.040125493067338036,-0.12037647920201411,23,0.664661395420752,,stop_loss,7.537696087536873
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-04-10 14:15:00+00:00,2026-04-11 21:15:00+00:00,1,long,41.908944,42.4277755,3.0,0.012379970728921386,0.03713991218676416,124,6.583403612140992,volume,warning_confirm_volume,7.753407385097244
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-04-13 19:15:00+00:00,2026-04-14 03:30:00+00:00,1,long,43.658818499999995,44.3228275,3.0,0.015209046483930955,0.045627139451792864,33,5.7657938797939385,volume,warning_confirm_volume,8.062836394750358
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-04-14 05:00:00+00:00,2026-04-19 05:15:00+00:00,1,long,44.9494635,43.503237500000004,3.0,-0.0321744885787123,-0.0965234657361369,481,3.3587558581480965,,opposite_cross,7.139035343293367
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-04-19 11:45:00+00:00,2026-04-20 01:15:00+00:00,-1,short,43.310334000000005,41.432705999999996,2.4527128700957253,0.04335288663440018,0.10633218300399427,54,11.31948558022214,volume,warning_confirm_volume,7.900107393039453
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-04-20 01:45:00+00:00,2026-04-21 01:15:00+00:00,-1,short,41.4122835,40.882431,2.324107013600292,0.012794573378210439,0.029735957724322463,94,4.25031296874354,volume,warning_confirm_volume,8.064423942799369
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-04-27 02:15:00+00:00,2026-04-28 02:30:00+00:00,1,long,42.758368499999996,41.069566788124334,3.0,-0.03949640201720195,-0.11848920605160584,98,4.540478512684301,,stop_loss,7.086662806315394
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-05-05 08:15:00+00:00,2026-05-05 20:00:00+00:00,1,long,43.05651749999999,43.999989,3.0,0.02191239688625557,0.06573719065876671,47,8.457755530455918,volume,warning_confirm_volume,7.509853711127017
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-05-14 17:00:00+00:00,2026-05-14 19:30:00+00:00,-1,short,43.4852465,44.6833305,3.0,-0.02755150531341699,-0.08265451594025097,10,1.2238268262686283,,opposite_cross,6.87336716730185
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-05-14 19:45:00+00:00,2026-05-15 05:15:00+00:00,1,long,44.67832799999999,45.7681045,3.0,0.02439161331193973,0.07317483993581919,38,12.477886294623092,volume,warning_confirm_volume,7.300689839827896
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-05-15 05:30:00+00:00,2026-05-15 12:45:00+00:00,1,long,45.74285999999999,43.87731926301848,3.0,-0.04078321156529163,-0.1223496346958749,30,5.160721369792386,,stop_loss,6.379516372117091
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-05-17 13:15:00+00:00,2026-05-17 23:15:00+00:00,1,long,42.881429999999995,45.864056500000004,2.6401072472071037,0.0695552014006997,0.183633191298937,40,16.906350834894813,volume,warning_confirm_volume,7.56050271916494
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-05-17 23:30:00+00:00,2026-05-19 02:00:00+00:00,1,long,45.59078399999999,47.188394,2.655511246490552,0.03504238926884895,0.09305545880732823,106,10.889272775889454,volume,warning_confirm_volume,8.161756919980151
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-05-20 17:15:00+00:00,2026-05-21 05:15:00+00:00,1,long,52.076024999999994,55.755108500000006,2.2368306194393157,0.0706483165717815,0.15802831771960288,48,13.669780855753094,volume,warning_confirm_volume,9.448075134807006
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-05-21 07:15:00+00:00,2026-05-21 11:00:00+00:00,1,long,57.168569999999995,57.418276500000005,2.2421663680124966,0.004367898304960427,0.009793554678281061,15,5.102139540323756,volume,warning_confirm_volume,9.494496351044253
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-05-21 11:15:00+00:00,2026-05-21 16:45:00+00:00,1,long,57.3636675,58.966502000000006,2.1738077879214233,0.027941632218686285,0.060739737724216404,22,12.522783438914152,volume,warning_confirm_volume,10.014787352513743
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-05-21 17:00:00+00:00,2026-05-22 20:00:00+00:00,1,long,58.7423565,54.76118239542147,2.139446233516233,-0.0677734830841954,-0.14499772311675796,109,7.319778248943293,,stop_loss,8.519056723461581
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-05-24 06:15:00+00:00,2026-05-24 14:15:00+00:00,1,long,60.7293495,62.758605,1.8151604909429215,0.03341474125290933,0.06065311813736159,32,7.00466238573448,volume,warning_confirm_volume,9.007503477861428
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2026-05-24 14:30:00+00:00,2026-05-24 20:00:00+00:00,1,long,62.34315599999999,62.988490000000006,1.7846826750197782,0.010351320680653586,0.018473822682336393,22,4.386772130860698,volume,warning_confirm_volume,9.1420319542004
