candidate_id,variant,quantile,window,start,end,trades,days,trades_per_day,total_return_1x,annualized_1x,win_rate,profit_factor,avg_trade_bps,max_drawdown_1x,trade_sharpe,active_months,negative_active_months,recent_1m_total_return_1x,recent_3m_total_return_1x,recent_6m_total_return_1x,paper_gate
current_70_20_10__q85,current_70_20_10,0.85,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,562,365.0,1.5397260273972602,0.5460698591717599,0.5460698591717599,0.5320284697508897,1.128911258263113,9.55401628153626,-0.3527963722898678,1.1903456609193692,13,5,0.27287115015431573,0.10261189177808872,0.18660162112896628,False
cfg_only__q85,cfg_only,0.85,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,565,365.0,1.547945205479452,0.5280877315331551,0.5280877315331551,0.5256637168141592,1.1257492488836385,9.284891141725867,-0.3486052838049103,1.1663544208172896,13,4,0.18241718516556538,0.0860686792962273,0.1555455867068598,False
cfg_side_88_12__q85,cfg_side_88_12,0.85,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,565,365.0,1.547945205479452,0.522430694273784,0.522430694273784,0.5292035398230088,1.1257220823209095,9.186404751698774,-0.34860528380491007,1.1649811636852583,13,4,0.18241718516556538,0.0860686792962273,0.1555455867068598,False
equal_weight__q60,equal_weight,0.6,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,821,365.0,2.249315068493151,0.4475984991314339,0.4475984991314339,0.5371498172959805,1.0862984199717771,6.0568105115490445,-0.41864198519544393,0.9832025002091888,13,6,-0.08305674970739318,-0.2940809008587255,0.13137524159769076,False
cfg_side_88_12__q90,cfg_side_88_12,0.9,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,471,365.0,1.2904109589041095,0.3165049004848144,0.3165049004848144,0.5159235668789809,1.0972015561597428,7.919466516329835,-0.26548989895269937,0.8395359761492142,13,6,0.11347916309870154,-0.0004490507765322338,0.1005735727716437,False
equal_weight__q85,equal_weight,0.85,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,570,365.0,1.5616438356164384,0.23405641492977614,0.23405641492977614,0.5210526315789473,1.0717716642625827,5.512894091911407,-0.3570068273422985,0.6873827490555146,13,7,0.28573469770249726,0.16412546332613887,0.1540876103101665,False
style_only__q85,style_only,0.85,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,655,365.0,1.7945205479452055,0.17607898153093293,0.17607898153093293,0.583206106870229,1.0608106478641344,3.6118142104916067,-0.31796723433595087,0.6134231547951289,13,6,-0.0037887429804209782,-0.2281830854211485,-0.1458786182931362,False
side_only__q50,side_only,0.5,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,714,365.0,1.9561643835616438,0.16599258810546136,0.16599258810546136,0.5658263305322129,1.054124839468397,3.3850820762601237,-0.4058131166333123,0.5745992148638798,13,5,-0.12566077122646324,-0.33267833584875206,-0.23965375256101984,False
side_only__q60,side_only,0.6,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,714,365.0,1.9561643835616438,0.16599258810546136,0.16599258810546136,0.5658263305322129,1.054124839468397,3.3850820762601237,-0.4058131166333123,0.5745992148638798,13,5,-0.12566077122646324,-0.33267833584875206,-0.23965375256101984,False
style_only__q95,style_only,0.95,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,547,365.0,1.4986301369863013,0.113166089531332,0.113166089531332,0.583180987202925,1.0518257956211439,3.1631769357542825,-0.2978066630048536,0.47617409233266045,13,8,-0.06332491300916276,-0.21458239814531122,-0.08707788039863462,False
style_only__q90,style_only,0.9,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,617,365.0,1.6904109589041096,0.09383572574677057,0.09383572574677057,0.5753646677471637,1.0433963497276304,2.54931523159987,-0.29035878417105154,0.4275713038505199,13,7,-0.003753174426138872,-0.1969402040005922,-0.11130408054542351,False
style_only__q50,style_only,0.5,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,725,365.0,1.9863013698630136,-0.04746309992802178,-0.04746309992802178,0.5572413793103448,1.0073516280395827,0.460374167440196,-0.5244579045288744,0.08244174706672946,13,7,-0.18774687080334218,-0.46743437666633003,-0.41936625842261044,False
equal_weight__q70,equal_weight,0.7,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,751,365.0,2.0575342465753423,-0.05162926291503689,-0.05162926291503689,0.4966711051930759,1.0126804543426817,0.9548175143913844,-0.4352778150715707,0.14315882618100262,13,8,0.014670417490420196,-0.24962393687339057,-0.07634169042517513,False
side_only__q70,side_only,0.7,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,695,365.0,1.904109589041096,-0.32062799255209795,-0.32062799255209795,0.5309352517985612,0.9400835559871015,-4.200786643732822,-0.420179376237689,-0.6701018169698865,13,7,-0.16658588828177612,-0.36391360051512733,-0.27524321046817224,False
side_only__q80,side_only,0.8,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,691,365.0,1.893150684931507,-0.32243715091709,-0.32243715091709,0.5238784370477568,0.9389948728605502,-4.274815553877201,-0.4201793762376892,-0.680778162731759,13,7,-0.16658588828177612,-0.36391360051512733,-0.27524321046817224,False
side_only__q85,side_only,0.85,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,691,365.0,1.893150684931507,-0.32243715091709,-0.32243715091709,0.5238784370477568,0.9389948728605502,-4.274815553877201,-0.4201793762376892,-0.680778162731759,13,7,-0.16658588828177612,-0.36391360051512733,-0.27524321046817224,False
side_only__q90,side_only,0.9,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,691,365.0,1.893150684931507,-0.32243715091709,-0.32243715091709,0.5238784370477568,0.9389948728605502,-4.274815553877201,-0.4201793762376892,-0.680778162731759,13,7,-0.16658588828177612,-0.36391360051512733,-0.27524321046817224,False
side_only__q95,side_only,0.95,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,691,365.0,1.893150684931507,-0.32243715091709,-0.32243715091709,0.5238784370477568,0.9389948728605502,-4.274815553877201,-0.4201793762376892,-0.680778162731759,13,7,-0.16658588828177612,-0.36391360051512733,-0.27524321046817224,False
