candidate_id,style_set,allowed_styles,variant,quantile,window,start,end,trades,days,trades_per_day,total_return_1x,annualized_1x,win_rate,profit_factor,avg_trade_bps,max_drawdown_1x,trade_sharpe,active_months,negative_active_months,recent_1m_total_return_1x,recent_3m_total_return_1x,recent_6m_total_return_1x,paper_gate
no_wick_no_breakout__equal_weight__q80,no_wick_no_breakout,"bb_revert,macd_flip,trend_rsi_snapback,vwap_revert",equal_weight,0.8,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,547,365.0,1.4986301369863013,1.0956613475803243,1.0956613475803243,0.5612431444241316,1.2210018195283492,15.271437684211989,-0.16048624814002022,1.910985194767089,13,4,0.242973405120948,0.0673483714793568,0.4610932396926719,True
mean_revert_bb_vwap_rsi__current_70_20_10__q95,mean_revert_bb_vwap_rsi,"bb_revert,trend_rsi_snapback,vwap_revert",current_70_20_10,0.95,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,207,365.0,0.5671232876712329,1.0742851020294353,1.0742851020294353,0.5797101449275363,1.503262285085474,37.64112998910864,-0.12028163022096405,2.4952769034632736,13,3,0.11972312295638732,0.15688969383146345,0.37987583265643043,True
no_wick_no_breakout__cfg_only__q95,no_wick_no_breakout,"bb_revert,macd_flip,trend_rsi_snapback,vwap_revert",cfg_only,0.95,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,228,365.0,0.6246575342465753,1.0692458824656437,1.0692458824656437,0.5745614035087719,1.448180052552439,34.34775682480101,-0.12974435444278243,2.3530103541384375,13,2,0.2830848876776544,0.3256738674342756,0.5076168563675238,True
no_wick_no_breakout__current_70_20_10__q95,no_wick_no_breakout,"bb_revert,macd_flip,trend_rsi_snapback,vwap_revert",current_70_20_10,0.95,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,220,365.0,0.6027397260273972,1.0660567069666844,1.0660567069666844,0.5772727272727273,1.4579456930336328,35.49282110002006,-0.11849947251767823,2.363006869160301,13,2,0.2830848876776544,0.3256738674342756,0.5020963320095031,True
no_wick_no_breakout__cfg_side_88_12__q95,no_wick_no_breakout,"bb_revert,macd_flip,trend_rsi_snapback,vwap_revert",cfg_side_88_12,0.95,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,228,365.0,0.6246575342465753,1.06166880991658,1.06166880991658,0.5745614035087719,1.446044280451326,34.18407488415142,-0.12974435444278243,2.342897673311213,13,2,0.2830848876776544,0.3256738674342756,0.5020963320095031,True
mean_revert_bb_vwap_rsi__cfg_side_88_12__q95,mean_revert_bb_vwap_rsi,"bb_revert,trend_rsi_snapback,vwap_revert",cfg_side_88_12,0.95,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,213,365.0,0.5835616438356165,1.0478244360126556,1.0478244360126556,0.5727699530516432,1.4822282576547925,36.008569711941334,-0.1315037780099897,2.437839272706692,13,3,0.11972312295638732,0.15688969383146345,0.37987583265643043,True
no_wick__cfg_only__q95,no_wick,"bb_revert,macd_flip,micro_breakout,trend_rsi_snapback,vwap_revert",cfg_only,0.95,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,238,365.0,0.6520547945205479,1.0227768762581522,1.0227768762581522,0.5756302521008403,1.4049047610994436,32.12290700516652,-0.1163864442148157,2.21280004002398,13,3,0.2830848876776544,0.3076931269564904,0.43853393927760775,True
no_wick__cfg_style_78_22__q95,no_wick,"bb_revert,macd_flip,micro_breakout,trend_rsi_snapback,vwap_revert",cfg_style_78_22,0.95,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,238,365.0,0.6520547945205479,1.0227768762581522,1.0227768762581522,0.5756302521008403,1.4049047610994436,32.12290700516652,-0.1163864442148157,2.21280004002398,13,3,0.2830848876776544,0.3076931269564904,0.43853393927760775,True
no_wick_no_breakout__equal_weight__q95,no_wick_no_breakout,"bb_revert,macd_flip,trend_rsi_snapback,vwap_revert",equal_weight,0.95,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,227,365.0,0.6219178082191781,1.0039573503136947,1.0039573503136947,0.5638766519823789,1.4274097464945252,33.087263437688435,-0.13315101399457896,2.2535758650103666,13,3,0.2831434316831687,0.38887400683212525,0.5408113362466447,True
no_wick__equal_weight__q95,no_wick,"bb_revert,macd_flip,micro_breakout,trend_rsi_snapback,vwap_revert",equal_weight,0.95,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,237,365.0,0.6493150684931507,0.9776442031546906,0.9776442031546906,0.5611814345991561,1.3996511636773765,31.216771208318786,-0.16091653448812815,2.1797124057964474,13,2,0.32194494976840327,0.4308727565927175,0.5411354522077885,True
