candidate_id,month,trades,days,trades_per_day,total_return_1x,annualized_1x,win_rate,profit_factor,avg_trade_bps,median_trade_bps,max_drawdown_1x,avg_bars_held
tp50_sl75_h12__core__trailing_120d__q70,2026_04,413,30.0,13.766666666666667,-0.5104777434961585,-0.999831901161574,0.4576271186440678,0.4950276555160898,-17.133619334448365,-8.575452181341953,-0.5137434208395335,7.924939467312349
tp50_sl75_h12__core__trailing_120d__q70,2026_05,642,31.0,20.70967741935484,-0.6739481525166527,-0.9999981407277159,0.4657320872274143,0.5189170460468886,-17.279254926953296,-14.656179115973968,-0.6768208980240353,6.157320872274143
tp50_sl75_h12__core__trailing_120d__q70,2026_06,25,25.17013888888889,0.9932404469582011,-0.002480181126263137,-0.03536988486423864,0.6,0.9698158638804896,-0.8281487047602663,44.33814053737181,-0.023269726960054582,3.72
tp50_sl75_h12__core__trailing_120d__q80,2025_09,550,30.0,18.333333333333332,-0.6769637007414802,-0.9999989303924249,0.4290909090909091,0.46323132872064365,-20.364201921637303,-28.298038132803697,-0.6786321057195441,7.136363636363637
tp50_sl75_h12__core__trailing_120d__q80,2025_10,505,31.0,16.29032258064516,-0.3698118587523973,-0.9956456469964431,0.5564356435643565,0.7285372558910658,-8.961082714924148,44.33814053737181,-0.38056675979948273,5.1663366336633665
tp50_sl75_h12__core__trailing_120d__q80,2025_11,727,30.0,24.233333333333334,-0.6991661113910836,-0.9999995502454669,0.4951856946354883,0.5686806783417394,-16.32452039612188,-4.132845383484323,-0.7033563054869354,4.6850068775790925
tp50_sl75_h12__core__trailing_120d__q80,2025_12,753,31.0,24.29032258064516,-0.7421273211551778,-0.9999998825717861,0.47410358565737054,0.5256706892062628,-17.809821772760255,-20.129655236592477,-0.7506413633275533,5.771580345285525
tp50_sl75_h12__core__trailing_120d__q80,2026_01,698,31.0,22.516129032258064,-0.709123168655758,-0.9999995151498823,0.4899713467048711,0.5398383446082807,-17.496682331178846,-13.397234796994205,-0.709123168655758,4.540114613180516
tp50_sl75_h12__core__trailing_120d__q80,2026_02,903,28.0,32.25,-0.7595952895368369,-0.9999999914856899,0.4994462901439646,0.5821883656897615,-15.590073542475762,-0.8003882581361448,-0.7631220063305757,4.229235880398671
tp50_sl75_h12__core__trailing_120d__q80,2026_03,567,31.0,18.29032258064516,-0.5651453618406852,-0.9999448184985148,0.5061728395061729,0.595497590046444,-14.498611078045858,2.545592023736284,-0.5802695040176316,5.146384479717813
tp50_sl75_h12__core__trailing_120d__q80,2026_04,294,30.0,9.8,-0.3785151200126954,-0.9969328249141157,0.47278911564625853,0.5233264969332421,-16.014639323597116,-6.268736830675761,-0.38189833840959364,7.534013605442177
tp50_sl75_h12__core__trailing_120d__q80,2026_05,500,31.0,16.129032258064516,-0.5839257085495069,-0.9999671871268906,0.464,0.5144619566624832,-17.36187384305654,-13.705265873808123,-0.5857623612139435,6.35
