candidate_id,style_set,variant,quantile,month,start,end,trades,days,trades_per_day,total_return_1x,annualized_1x,win_rate,profit_factor,avg_trade_bps,max_drawdown_1x,trade_sharpe
mean_revert_bb_vwap_rsi__side_only__q60,mean_revert_bb_vwap_rsi,side_only,0.6,2026_02,2026-02-01 00:00:00+00:00,2026-03-01 00:00:00+00:00,56,28.0,2.0,0.006385221197779289,0.08651063081210042,0.6428571428571429,1.0352405289979603,2.232539937328427,-0.09517464656920183,0.40536820039570165
mean_revert_bb_vwap_rsi__side_only__q60,mean_revert_bb_vwap_rsi,side_only,0.6,2026_03,2026-03-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,54,31.0,1.7419354838709677,-0.016139445795080087,-0.17434572109498137,0.6296296296296297,0.9627678110186279,-2.148991310413303,-0.10853092751182503,-0.40981612278546503
mean_revert_bb_vwap_rsi__side_only__q60,mean_revert_bb_vwap_rsi,side_only,0.6,2026_04,2026-04-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,40,30.0,1.3333333333333333,-0.05624734090409922,-0.5055664211999169,0.6,0.7928419880812932,-13.580890611188963,-0.14617991791534646,-2.2340929471101805
mean_revert_bb_vwap_rsi__side_only__q60,mean_revert_bb_vwap_rsi,side_only,0.6,2026_05,2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,49,31.0,1.5806451612903225,-0.19093602671226195,-0.9174774919568061,0.4489795918367347,0.5235621703474803,-42.02443395473333,-0.21143595553211192,-6.688187521473255
mean_revert_bb_vwap_rsi__side_only__q60,mean_revert_bb_vwap_rsi,side_only,0.6,2026_06,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,50,25.180555555555557,1.9856591285162712,0.12854713937754614,4.771510370844426,0.68,1.5462722694862303,25.095716340074798,-0.059807268918858014,5.05900291190024
mean_revert_bb_vwap_rsi__side_only__q70,mean_revert_bb_vwap_rsi,side_only,0.7,2025_06_partial,2025-06-26 04:20:00+00:00,2025-07-01 00:00:00+00:00,6,4.819444444444445,1.2449567723342938,0.02823002862742885,7.234856019280183,0.8333333333333334,3.090917098553721,47.028072362665384,-0.013494960387055333,8.94164915451776
mean_revert_bb_vwap_rsi__side_only__q70,mean_revert_bb_vwap_rsi,side_only,0.7,2025_07,2025-07-01 00:00:00+00:00,2025-08-01 00:00:00+00:00,59,31.0,1.903225806451613,0.1436091417643639,3.8548068725437448,0.6440677966101694,1.5493488594748082,23.601350556867693,-0.05490156248655054,4.79163982865618
mean_revert_bb_vwap_rsi__side_only__q70,mean_revert_bb_vwap_rsi,side_only,0.7,2025_08,2025-08-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,59,31.0,1.903225806451613,-0.20071181514975123,-0.9284827312484244,0.423728813559322,0.6136465014580105,-36.50034717359159,-0.24157698140907524,-5.70220552542315
mean_revert_bb_vwap_rsi__side_only__q70,mean_revert_bb_vwap_rsi,side_only,0.7,2025_09,2025-09-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,56,30.0,1.8666666666666667,0.036776090960427776,0.5517931949310946,0.5892857142857143,1.132437571997278,7.4144127681196705,-0.11322080122625366,1.3841408605559018
mean_revert_bb_vwap_rsi__side_only__q70,mean_revert_bb_vwap_rsi,side_only,0.7,2025_10,2025-10-01 00:00:00+00:00,2025-11-01 00:00:00+00:00,66,31.0,2.129032258064516,-0.14318141403869078,-0.8378859457611902,0.5,0.7455044307653146,-21.946587133726123,-0.20678375336803045,-3.57893277599329
mean_revert_bb_vwap_rsi__side_only__q70,mean_revert_bb_vwap_rsi,side_only,0.7,2025_11,2025-11-01 00:00:00+00:00,2025-12-01 00:00:00+00:00,62,30.0,2.066666666666667,0.06781613516023466,1.2218112452283139,0.5967741935483871,1.2247725755822159,11.484066904370044,-0.09086465127108145,2.344068104165771
mean_revert_bb_vwap_rsi__side_only__q70,mean_revert_bb_vwap_rsi,side_only,0.7,2025_12,2025-12-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,55,31.0,1.7741935483870968,0.006974614090275777,0.08527716028828758,0.6181818181818182,1.038239069218754,2.405252967113349,-0.09049730457730665,0.4031011109751173
mean_revert_bb_vwap_rsi__side_only__q70,mean_revert_bb_vwap_rsi,side_only,0.7,2026_01,2026-01-01 00:00:00+00:00,2026-02-01 00:00:00+00:00,59,31.0,1.903225806451613,0.17894639965901638,5.946801766454241,0.6779661016949152,1.7477500706929392,28.611557000848613,-0.05186531727319266,6.462814824631466
