label,trade_no,signal_ts,entry_ts,exit_ts,reason,bars_held,entry_price,exit_price,net_ret_1x,net_ret_3x,mae_1x,mfe_1x,trigger_atr,lock_atr,trail_atr,max_hold_bars
trigger2.5_lock1.5_trail2_max144,24,2025-09-08 13:55:00+00:00,2025-09-08 14:00:00+00:00,2025-09-09 02:00:00+00:00,time_open_untriggered,145,51.387079236000005,51.20851548,-0.004302758263034896,-0.012908274789104689,-0.02982048196592192,0.011149120995353812,2.5,1.5,2.0,144.0
trigger2.5_lock1.5_trail2_max144,25,2025-09-09 10:55:00+00:00,2025-09-09 11:00:00+00:00,2025-09-09 12:40:00+00:00,stop_market,21,55.07002680300001,53.347606854076005,-0.032093257432788874,-0.09627977229836662,-0.034607976845959634,0.0005624329385345295,2.5,1.5,2.0,144.0
trigger2.5_lock1.5_trail2_max144,26,2025-09-18 01:45:00+00:00,2025-09-18 01:50:00+00:00,2025-09-18 13:05:00+00:00,stop_market,136,59.35261709700001,57.32924802391362,-0.03490583279332104,-0.10471749837996311,-0.03479591013880114,0.001270085578143787,2.5,1.5,2.0,144.0
trigger2.5_lock1.5_trail2_max144,27,2025-09-29 03:45:00+00:00,2025-09-29 03:50:00+00:00,2025-09-29 04:20:00+00:00,trail_stop,7,47.16255117600001,47.497908742939046,0.0062784037155902165,0.01883521114677065,-0.0017833569049613568,0.012773881161597611,2.5,1.5,2.0,144.0
trigger2.5_lock1.5_trail2_max144,28,2025-09-29 04:35:00+00:00,2025-09-29 04:40:00+00:00,2025-09-29 07:55:00+00:00,trail_stop,40,47.44084947,47.744665020545796,0.005572113553680656,0.016716340661041967,-0.01632604313547327,0.010605849929356204,2.5,1.5,2.0,144.0
trigger2.5_lock1.5_trail2_max144,29,2025-10-12 19:15:00+00:00,2025-10-12 19:20:00+00:00,2025-10-12 20:55:00+00:00,trail_stop,20,40.037914635,40.44238825828572,0.009268753349685832,0.027806260049057493,-0.00543277069124594,0.022106180430943034,2.5,1.5,2.0,144.0
trigger2.5_lock1.5_trail2_max144,30,2025-10-13 01:55:00+00:00,2025-10-13 02:00:00+00:00,2025-10-13 05:45:00+00:00,stop_market,46,40.12200476700001,38.19808640025848,-0.04876113967322648,-0.14628341901967945,-0.048891919072434856,0.002218115308963542,2.5,1.5,2.0,144.0
trigger2.5_lock1.5_trail2_max144,31,2025-10-13 20:25:00+00:00,2025-10-13 20:30:00+00:00,2025-10-13 21:25:00+00:00,trail_stop,12,42.229263432,42.69241067885714,0.010133577509275958,0.03040073252782787,-0.0016996335692187764,0.024479152227331102,2.5,1.5,2.0,144.0
trigger2.5_lock1.5_trail2_max144,32,2025-10-23 03:05:00+00:00,2025-10-23 03:10:00+00:00,2025-10-23 06:40:00+00:00,trail_stop,43,38.302054053000006,38.71416475212714,0.009925709267496745,0.029777127802490234,-0.034147944941369426,0.02226893486755932,2.5,1.5,2.0,144.0
trigger2.5_lock1.5_trail2_max144,33,2025-10-23 08:40:00+00:00,2025-10-23 08:45:00+00:00,2025-10-23 12:25:00+00:00,trail_gap_open,45,38.912708583000004,39.183341672000005,0.006122670127630999,0.018368010382892996,-0.011791627837275847,0.016454557914781676,2.5,1.5,2.0,144.0
