filter,mode,signal_count,trades,equity_multiple,annualized_multiple,total_return,max_dd,win_rate,profit_factor,avg_trade,avg_win,avg_loss_abs,payoff_ratio,worst_trade,best_trade,long_trades,short_trades,long_short_ratio,long_share,short_share,long_win_rate,short_win_rate,long_payoff_ratio,short_payoff_ratio
depth_atr_le_0p50,1m_conservative,4231,1823,0.043440792420899994,4.579509976876936e-06,-0.9565592075791,-0.9569287457560514,0.3746571585298958,0.56143825297832,-0.0016838805748070765,0.005753717081472013,0.00613991496010411,0.9371004515304316,-0.038936032438778266,0.06278539554259432,936,887,1.0552423900789176,0.5134393856280856,0.48656061437191445,0.3856837606837607,0.36302142051860203,0.9453313724317253,0.9247014414026136
depth_atr_le_0p50,1m_optimistic,4231,1854,0.05161452709752477,9.001432776907843e-06,-0.9483854729024752,-0.9488303360581937,0.3807982740021575,0.5820687226285779,-0.001562855771348684,0.005716014455843445,0.0060392341514860035,0.9464800192317385,-0.038936032438778266,0.06278539554259432,950,904,1.0508849557522124,0.5124056094929881,0.48759439050701187,0.391578947368421,0.3694690265486726,0.952256182978112,0.938599189663012
depth_atr_le_0p75,5m_conservative,4712,1910,0.05995780850847576,1.6195282051807376e-05,-0.9400421914915242,-0.940913518689322,0.4005235602094241,0.624784622996348,-0.001434742958668234,0.005964797964790854,0.006378541042900725,0.9351351546808083,-0.038936032438778266,0.06278539554259432,976,934,1.044967880085653,0.5109947643979058,0.48900523560209425,0.4262295081967213,0.37366167023554603,0.9499421385021815,0.9104497356968675
depth_atr_le_0p75,5m_optimistic,4712,1978,0.04948203069025954,7.629276247332754e-06,-0.9505179693097404,-0.9508844495940509,0.3897876643073812,0.5972992665573843,-0.001484331610869428,0.005648230433549244,0.006040425509996848,0.9350716144419752,-0.038936032438778266,0.06278539554259432,1010,968,1.0433884297520661,0.5106167846309403,0.48938321536905965,0.4079207920792079,0.37086776859504134,0.9386496090284278,0.9288316411289478
depth_atr_le_0p75,1m_conservative,4712,1950,0.04063516513508328,3.525018163669068e-06,-0.9593648348649167,-0.9596657923370328,0.3830769230769231,0.5744042057902772,-0.001606754310136938,0.00566087762730301,0.006119573144108376,0.9250445241843419,-0.038936032438778266,0.06278539554259432,1000,950,1.0526315789473684,0.5128205128205128,0.48717948717948717,0.398,0.36736842105263157,0.9328530259590545,0.9132753725358902
depth_atr_le_0p75,1m_optimistic,4712,1978,0.04948203069025954,7.629276247332754e-06,-0.9505179693097404,-0.9508844495940509,0.3897876643073812,0.5972992665573843,-0.001484331610869428,0.005648230433549244,0.006040425509996848,0.9350716144419752,-0.038936032438778266,0.06278539554259432,1010,968,1.0433884297520661,0.5106167846309403,0.48938321536905965,0.4079207920792079,0.37086776859504134,0.9386496090284278,0.9288316411289478
atr_stable_le_1p0,5m_conservative,2771,1204,0.174628643516961,0.0010696391228730868,-0.8253713564830389,-0.8395436001042507,0.3945182724252492,0.612752513806915,-0.0014165091371733157,0.005681313464132591,0.006041290667516671,0.9404138580320864,-0.03674876276479539,0.03865768375936312,581,623,0.9325842696629213,0.48255813953488375,0.5174418604651163,0.42857142857142855,0.36276083467094705,0.9593700400148637,0.9153494074234909
atr_stable_le_1p0,5m_optimistic,2771,1254,0.13843418782035125,0.0004303658483988488,-0.8615658121796488,-0.8726812910266196,0.3843700159489633,0.5717637894937858,-0.0015453022214751643,0.00536781064664279,0.005861520359341555,0.9157710487327856,-0.03674876276479539,0.03701143471749569,603,651,0.9262672811059908,0.48086124401913877,0.5191387559808612,0.41127694859038144,0.35944700460829493,0.9141820931346758,0.920784223321036
atr_stable_le_1p0,1m_conservative,2771,1231,0.13122941327260526,0.0003490201677622104,-0.8687705867273947,-0.8787036595061177,0.3826157595450853,0.5580503217542733,-0.0016181782497496032,0.005340280216798945,0.005930591325729032,0.9004633641894856,-0.03674876276479539,0.031246288656880283,593,638,0.9294670846394985,0.48172217709179527,0.5182778229082047,0.40809443507588533,0.35893416927899685,0.9058662172211635,0.8965640335123836
atr_stable_le_1p0,1m_optimistic,2771,1254,0.13843418782035125,0.0004303658483988488,-0.8615658121796488,-0.8726812910266196,0.3843700159489633,0.5717637894937858,-0.0015453022214751643,0.00536781064664279,0.005861520359341555,0.9157710487327856,-0.03674876276479539,0.03701143471749569,603,651,0.9262672811059908,0.48086124401913877,0.5191387559808612,0.41127694859038144,0.35944700460829493,0.9141820931346758,0.920784223321036
