config,signal_ts,entry_ts,exit_ts,side,entry_price,exit_price,reason,bars_held,net_ret_1x,mae_1x,mfe_1x,side_label
HYPE_5M_MS_R11999,2025-06-19 10:00:00+00:00,2025-06-19 10:05:00+00:00,2025-06-19 10:05:00+00:00,-1,38.171997451,38.04743428354192,target_limit,1,0.002435238504337688,-0.0014888138765876285,0.004505854094242534,short
HYPE_5M_MS_R11999,2025-06-19 10:15:00+00:00,2025-06-19 10:20:00+00:00,2025-06-19 11:00:00+00:00,-1,38.0591187,37.93492387938521,target_limit,9,0.002435238504337688,-0.011998778732920561,0.004154554950322464,short
HYPE_5M_MS_R11999,2025-06-19 11:05:00+00:00,2025-06-19 11:10:00+00:00,2025-06-19 11:30:00+00:00,-1,37.683522147999994,37.56055297705846,target_limit,5,0.0024352385043377995,-0.006902320586464909,0.010177449615610068,short
HYPE_5M_MS_R11999,2025-06-19 12:00:00+00:00,2025-06-19 12:05:00+00:00,2025-06-19 12:05:00+00:00,-1,37.331899844,37.21007808977385,target_limit,1,0.0024352385043379106,-0.009765917407113205,0.003934968341119838,short
HYPE_5M_MS_R11999,2025-06-19 13:10:00+00:00,2025-06-19 13:15:00+00:00,2025-06-19 13:15:00+00:00,-1,37.058193846,36.93726525137618,target_limit,1,0.002435238504337688,-0.0019745364154355608,0.008721251967731436,short
HYPE_5M_MS_R11999,2025-06-19 13:30:00+00:00,2025-06-19 13:35:00+00:00,2025-06-19 13:45:00+00:00,-1,36.983274321,36.86259020436952,target_limit,3,0.0024352385043377995,-0.004706484625995226,0.0041714619333314,short
HYPE_5M_MS_R11999,2025-06-19 13:45:00+00:00,2025-06-19 13:50:00+00:00,2025-06-19 14:30:00+00:00,-1,36.855411665000005,36.73514479081148,target_limit,9,0.002435238504337688,-0.008570541856520968,0.005112184520216112,short
HYPE_5M_MS_R11999,2025-06-19 14:55:00+00:00,2025-06-19 15:00:00+00:00,2025-06-19 15:30:00+00:00,-1,36.415883785,36.29705118170572,target_limit,7,0.002435238504337577,-0.013516532401447916,0.004363035260603665,short
HYPE_5M_MS_R11999,2025-06-19 17:55:00+00:00,2025-06-19 18:00:00+00:00,2025-06-19 18:35:00+00:00,-1,36.787484629,36.66743941485877,target_limit,8,0.002435238504337688,-0.014645462255271873,0.003601350577135065,short
HYPE_5M_MS_R11999,2025-06-19 19:05:00+00:00,2025-06-19 19:10:00+00:00,2025-06-19 19:30:00+00:00,-1,36.403896661,36.28510317418465,target_limit,5,0.002435238504337688,-0.008054045127121616,0.006562392570901077,short
HYPE_5M_MS_R11999,2025-06-19 20:30:00+00:00,2025-06-19 20:35:00+00:00,2025-06-19 20:35:00+00:00,-1,36.301007180000006,36.18254944296217,target_limit,1,0.0024352385043377995,-0.004216010935035556,0.005537234242656175,short
HYPE_5M_MS_R11999,2025-06-20 03:55:00+00:00,2025-06-20 04:00:00+00:00,2025-06-20 04:05:00+00:00,-1,36.019309766,35.90177126621711,target_limit,2,0.002435238504337688,-0.001933020056660088,0.0032290948037485556,short
