variant,signal_ts,entry_ts,exit_ts,direction,entry_price,exit_price,entry_atr,allocation,entry_bar,exit_bar,hold_bars,exit_reason,raw_price_return,trade_return,entry_equity,exit_equity
trend_pullback_mid_reclaim_k2,2025-07-22 13:30:00+00:00,2025-07-22 14:00:00+00:00,2025-07-22 15:00:00+00:00,-1,43.642536,45.025544969161906,0.34125148809523814,1.0,5102,5106,4,stop_loss,-0.03168947306732828,-0.03299067040005421,0.8390301098248646,0.8113499440159112
trend_pullback_mid_reclaim_k2,2025-07-22 19:30:00+00:00,2025-07-22 20:00:00+00:00,2025-07-22 20:30:00+00:00,-1,44.2193052,44.6388484,0.34272321428571434,1.0,5126,5128,2,midline_exit_next_open,-0.009487783629852142,-0.011419607517962005,0.8113499440159112,0.8020846460955291
trend_pullback_mid_reclaim_k2,2025-07-23 22:45:00+00:00,2025-07-23 23:15:00+00:00,2025-07-24 00:30:00+00:00,-1,43.9983936,44.0716216,0.3492172619047621,1.0,5235,5240,5,midline_exit_next_open,-0.001664333490575487,-0.003758918321358218,0.8020846460955291,0.7990696754240405
trend_pullback_mid_reclaim_k2,2025-07-24 13:30:00+00:00,2025-07-24 14:00:00+00:00,2025-07-24 15:00:00+00:00,-1,42.6089496,43.4833864,0.34695833333333354,1.0,5294,5298,4,midline_exit_next_open,-0.020522374013181466,-0.022295231264706228,0.7990696754240405,0.7812542322138478
trend_pullback_mid_reclaim_k2,2025-07-24 21:00:00+00:00,2025-07-24 21:30:00+00:00,2025-07-25 06:30:00+00:00,-1,42.6519324,42.5039948,0.34274851190476213,1.0,5324,5360,36,midline_exit_next_open,0.003468485287198786,0.0003119673361104969,0.7812542322138478,0.7814979580154967
trend_pullback_mid_reclaim_k2,2025-07-25 07:15:00+00:00,2025-07-25 07:45:00+00:00,2025-07-25 08:30:00+00:00,-1,41.963208,42.49999319999999,0.3380238095238098,1.0,5365,5368,3,midline_exit_next_open,-0.01279180562172444,-0.01460742628530931,0.7814979580154967,0.7700822842016656
trend_pullback_mid_reclaim_k2,2025-07-26 18:30:00+00:00,2025-07-26 19:00:00+00:00,2025-07-26 19:15:00+00:00,1,43.954574799999996,43.7904768,0.32261607142857174,1.0,5506,5507,1,midline_exit_next_open,-0.0037333542810200626,-0.005724891305812219,0.7700822842016656,0.7656736468280795
trend_pullback_mid_reclaim_k2,2025-07-27 16:45:00+00:00,2025-07-27 17:15:00+00:00,2025-07-27 17:30:00+00:00,-1,43.1097492,43.4343668,0.3146904761904765,1.0,5595,5596,1,midline_exit_next_open,-0.007530027569726538,-0.009507976493056347,0.7656736468280795,0.7583936397926854
trend_pullback_mid_reclaim_k2,2025-07-29 04:30:00+00:00,2025-07-29 05:00:00+00:00,2025-07-29 06:00:00+00:00,-1,43.823463600000004,44.12264199999999,0.3077738095238097,1.0,5738,5742,4,midline_exit_next_open,-0.006826899916691831,-0.00883778672624902,0.7583936397926854,0.7516911185496539
trend_pullback_mid_reclaim_k2,2025-07-29 11:00:00+00:00,2025-07-29 11:30:00+00:00,2025-07-29 14:15:00+00:00,1,44.8659392,44.106350400000004,0.3056800595238098,1.0,5764,5775,11,midline_exit_next_open,-0.01693018832424209,-0.018944400110537996,0.7516911185496539,0.7374507812403114
trend_pullback_mid_reclaim_k2,2025-07-29 19:15:00+00:00,2025-07-29 19:45:00+00:00,2025-07-30 15:00:00+00:00,-1,43.8604488,43.3243228,0.30822023809523835,1.0,5797,5874,77,midline_exit_next_open,0.012223449934237851,0.008054752196666737,0.7374507812403114,0.7433907645404404
trend_pullback_mid_reclaim_k2,2025-08-02 08:45:00+00:00,2025-08-02 09:15:00+00:00,2025-08-03 02:45:00+00:00,-1,38.5405776,37.5790256,0.32285714285714273,1.0,6139,6209,70,midline_exit_next_open,0.024949081199032053,0.020144247401046034,0.7433907645404404,0.7583658120169958
trend_pullback_mid_reclaim_k2,2025-08-03 13:45:00+00:00,2025-08-03 14:15:00+00:00,2025-08-03 14:30:00+00:00,1,37.783107199999996,37.7978748,0.34756845238095224,1.0,6255,6256,1,midline_exit_next_open,0.0003908519201938354,-0.0016089293927948889,0.7583658120169958,0.757145654971551
trend_pullback_mid_reclaim_k2,2025-08-03 15:30:00+00:00,2025-08-03 16:00:00+00:00,2025-08-03 22:30:00+00:00,1,37.9691816,38.044776000000006,0.3474211309523808,1.0,6262,6288,26,midline_exit_next_open,0.0019909409898897223,0.00018996866687248648,0.757145654971551,0.7572894889222542
trend_pullback_mid_reclaim_k2,2025-08-04 07:30:00+00:00,2025-08-04 08:00:00+00:00,2025-08-04 09:00:00+00:00,1,38.3533352,38.032780800000005,0.34561904761904744,1.0,6326,6330,4,midline_exit_next_open,-0.008357927630762929,-0.010340220133429057,0.7572894889222542,0.7494589489020661
trend_pullback_mid_reclaim_k2,2025-08-04 21:00:00+00:00,2025-08-04 21:30:00+00:00,2025-08-05 02:30:00+00:00,1,38.4943916,38.344656,0.33533184523809506,1.0,6380,6400,20,midline_exit_next_open,-0.0038898030018481577,-0.00593073323428317,0.7494589489020661,0.7450141078060817
trend_pullback_mid_reclaim_k2,2025-08-05 05:00:00+00:00,2025-08-05 05:30:00+00:00,2025-08-05 07:45:00+00:00,1,38.6764644,38.394636,0.33176041666666645,1.0,6412,6421,9,midline_exit_next_open,-0.00728681911265916,-0.009271252761253068,0.7450141078060817,0.7381068937019121
