strategy,symbol,asset_class,gross_contribution,net_contribution_2bps,turnover,average_abs_position
tsmom_3m,ES=F,equity_index,0.01821134572168985,0.01782088902851012,1.9522834658986508,0.07454961244386955
tsmom_3m,GC=F,commodity,0.03966157879805145,0.03943418875352713,1.1369502226215993,0.04565646036396131
tsmom_3m,HG=F,commodity,-0.008207792450486043,-0.008430691140693931,1.1144934510394466,0.02888861273099778
tsmom_3m,NG=F,commodity,-0.015366155423622583,-0.015424120405133603,0.2898249075551122,0.008911803550305726
tsmom_3m,NKD=F,equity_index,0.01882437963529227,0.018429658142124633,1.9736074658381735,0.058458861152723925
tsmom_3m,NQ=F,equity_index,0.03081302479462163,0.030554634628794135,1.2919508291374728,0.054713346510168515
tsmom_3m,RTY=F,equity_index,-0.024185884720567985,-0.02455349108788536,1.8380318365868695,0.052412642061638884
tsmom_3m,SI=F,commodity,-0.002082869981072968,-0.0022882681712369465,1.0269909508198942,0.023375585363574265
tsmom_3m,UB=F,bond,0.014126494700161401,0.01353324893557272,2.9662288229433993,0.08100833461038696
tsmom_3m,YM=F,equity_index,-0.0015268110226194518,-0.002032833035914149,2.5301100664734855,0.08365290912825854
tsmom_3m,ZB=F,bond,-0.011383937959156213,-0.012187957773512783,4.020099071782842,0.10397705694761451
tsmom_3m,ZC=F,commodity,0.011285635850237176,0.011083951120310145,1.0084236496351608,0.030134001567482884
tsmom_3m,ZF=F,bond,-0.012866237388191912,-0.014785894546612223,9.59828579210156,0.2749770851948211
tsmom_3m,ZN=F,bond,-0.01008139198528115,-0.011508252063454433,7.1343003908664056,0.18956654160899541
tsmom_3m,ZS=F,commodity,-0.019384031807879457,-0.019707631968620104,1.6180008037032192,0.0364307239258682
tsmom_3m,ZT=F,bond,0.024454519403570272,0.021014160004350683,17.201796996097944,0.6286108181788089
tsmom_3m,ZW=F,commodity,-0.03189821199460929,-0.032115394109412006,1.0859105740135682,0.02303405105497963
