surface,month,strategy,label,cost_bps_one_way,net_return,gross_return,max_drawdown,turnover
30_etf_fx_proxies,2016-11,mop_tsmom,MOP 12M TSMOM,2.0,-0.02296308004836145,-0.02268799171057334,-0.029379439349790926,1.4040248416431393
30_etf_fx_proxies,2016-11,mop_tsmom,MOP 12M TSMOM,10.0,-0.024063433399515777,-0.02268799171057334,-0.02937943934979126,1.4040248416431393
30_etf_fx_proxies,2016-12,mop_tsmom,MOP 12M TSMOM,0.0,-0.012040650177096768,-0.012040650177096768,-0.021037852998286977,0.379658934742582
30_etf_fx_proxies,2016-12,mop_tsmom,MOP 12M TSMOM,2.0,-0.012116283191246024,-0.012040650177096768,-0.021037852998286977,0.379658934742582
30_etf_fx_proxies,2016-12,mop_tsmom,MOP 12M TSMOM,10.0,-0.012418815247842385,-0.012040650177096768,-0.021037852998286866,0.379658934742582
30_etf_fx_proxies,2017-01,mop_tsmom,MOP 12M TSMOM,0.0,0.01809442688021634,0.01809442688021634,-0.01932248925937008,1.275252843855331
30_etf_fx_proxies,2017-01,mop_tsmom,MOP 12M TSMOM,2.0,0.017836398274116982,0.01809442688021634,-0.01932248925937019,1.275252843855331
30_etf_fx_proxies,2017-01,mop_tsmom,MOP 12M TSMOM,10.0,0.016804283849719992,0.01809442688021634,-0.01932248925937019,1.275252843855331
30_etf_fx_proxies,2017-02,mop_tsmom,MOP 12M TSMOM,0.0,0.021994405130419725,0.021994405130419725,-0.013464266272898873,2.280406669581766
30_etf_fx_proxies,2017-02,mop_tsmom,MOP 12M TSMOM,2.0,0.021528709669712542,0.021994405130419725,-0.013464266272898873,2.280406669581766
30_etf_fx_proxies,2017-02,mop_tsmom,MOP 12M TSMOM,10.0,0.019665927826885365,0.021994405130419725,-0.013464266272899095,2.280406669581766
30_etf_fx_proxies,2017-03,mop_tsmom,MOP 12M TSMOM,0.0,0.008042069368891402,0.008042069368891402,-0.03760481545151706,1.2398435966830548
30_etf_fx_proxies,2017-03,mop_tsmom,MOP 12M TSMOM,2.0,0.007796648304964293,0.008042069368891402,-0.03760481545151717,1.2398435966830548
30_etf_fx_proxies,2017-03,mop_tsmom,MOP 12M TSMOM,10.0,0.00681496404925741,0.008042069368891402,-0.03760481545151728,1.2398435966830548
30_etf_fx_proxies,2017-04,mop_tsmom,MOP 12M TSMOM,0.0,0.0008583256573750919,0.0008583256573750919,-0.01900022428253889,1.062076145648259
30_etf_fx_proxies,2017-04,mop_tsmom,MOP 12M TSMOM,2.0,0.0006453777848562936,0.0008583256573750919,-0.019000224282539002,1.062076145648259
30_etf_fx_proxies,2017-04,mop_tsmom,MOP 12M TSMOM,10.0,-0.0002064137052175674,0.0008583256573750919,-0.019000224282539002,1.062076145648259
30_etf_fx_proxies,2017-05,mop_tsmom,MOP 12M TSMOM,0.0,-0.0014076140776829726,-0.0014076140776829726,-0.037221997868964296,1.405695894663408
30_etf_fx_proxies,2017-05,mop_tsmom,MOP 12M TSMOM,2.0,-0.0016885523663132673,-0.0014076140776829726,-0.03722199786896452,1.405695894663408
30_etf_fx_proxies,2017-05,mop_tsmom,MOP 12M TSMOM,10.0,-0.0028123055208358894,-0.0014076140776829726,-0.03722199786896485,1.405695894663408
30_etf_fx_proxies,2017-06,mop_tsmom,MOP 12M TSMOM,0.0,-0.01228515000731123,-0.01228515000731123,-0.03416289118174909,1.865100920558779
30_etf_fx_proxies,2017-06,mop_tsmom,MOP 12M TSMOM,2.0,-0.012650468309438945,-0.01228515000731123,-0.03416289118174931,1.865100920558779
30_etf_fx_proxies,2017-06,mop_tsmom,MOP 12M TSMOM,10.0,-0.014111741517947474,-0.01228515000731123,-0.03416289118174909,1.865100920558779
30_etf_fx_proxies,2017-07,mop_tsmom,MOP 12M TSMOM,0.0,0.022716506523819513,0.022716506523819513,-0.019761884918492956,4.700456893400346
30_etf_fx_proxies,2017-07,mop_tsmom,MOP 12M TSMOM,2.0,0.021752034158319722,0.022716506523819513,-0.019761884918493178,4.700456893400346
30_etf_fx_proxies,2017-07,mop_tsmom,MOP 12M TSMOM,10.0,0.017894144696322334,0.022716506523819513,-0.019761884918492956,4.700456893400346
30_etf_fx_proxies,2017-08,mop_tsmom,MOP 12M TSMOM,0.0,0.0017530050514142914,0.0017530050514142914,-0.039533243872393986,4.4601442292721805
30_etf_fx_proxies,2017-08,mop_tsmom,MOP 12M TSMOM,2.0,0.0008648256474430571,0.0017530050514142914,-0.03953324387239432,4.4601442292721805
30_etf_fx_proxies,2017-08,mop_tsmom,MOP 12M TSMOM,10.0,-0.002687891968441103,0.0017530050514142914,-0.039533243872393986,4.4601442292721805
30_etf_fx_proxies,2017-09,mop_tsmom,MOP 12M TSMOM,0.0,0.017201365742103514,0.017201365742103514,-0.02005471438450701,1.5912578328981226
30_etf_fx_proxies,2017-09,mop_tsmom,MOP 12M TSMOM,2.0,0.016878961140819992,0.017201365742103514,-0.020054714384506456,1.5912578328981226
30_etf_fx_proxies,2017-09,mop_tsmom,MOP 12M TSMOM,10.0,0.015589342735683687,0.017201365742103514,-0.020054714384506678,1.5912578328981226
30_etf_fx_proxies,2017-10,mop_tsmom,MOP 12M TSMOM,0.0,0.02618936574174402,0.02618936574174402,-0.013167851949170806,1.8674850420843703
30_etf_fx_proxies,2017-10,mop_tsmom,MOP 12M TSMOM,2.0,0.025808473141239352,0.02618936574174402,-0.013167851949170917,1.8674850420843703
30_etf_fx_proxies,2017-10,mop_tsmom,MOP 12M TSMOM,10.0,0.024284902739222902,0.02618936574174402,-0.013167851949171028,1.8674850420843703
30_etf_fx_proxies,2017-11,mop_tsmom,MOP 12M TSMOM,0.0,0.026926665979738695,0.026926665979738695,-0.023544275463533104,0.6004913071875342
30_etf_fx_proxies,2017-11,mop_tsmom,MOP 12M TSMOM,2.0,0.026803237660749213,0.026926665979738695,-0.023544275463533326,0.6004913071875342
30_etf_fx_proxies,2017-11,mop_tsmom,MOP 12M TSMOM,10.0,0.026309524384794836,0.026926665979738695,-0.023544275463532993,0.6004913071875342
30_etf_fx_proxies,2017-12,mop_tsmom,MOP 12M TSMOM,0.0,0.06529046035920305,0.06529046035920305,-0.01746515951069816,2.9955087596003738
30_etf_fx_proxies,2017-12,mop_tsmom,MOP 12M TSMOM,2.0,0.06465810694826923,0.06529046035920305,-0.01746515951069827,2.9955087596003738
30_etf_fx_proxies,2017-12,mop_tsmom,MOP 12M TSMOM,10.0,0.062128693304533744,0.06529046035920305,-0.01746515951069827,2.9955087596003738
30_etf_fx_proxies,2018-01,mop_tsmom,MOP 12M TSMOM,0.0,0.1002525934669809,0.1002525934669809,-0.044439741984124814,0.4668271580292838
30_etf_fx_proxies,2018-01,mop_tsmom,MOP 12M TSMOM,2.0,0.10015135584880008,0.1002525934669809,-0.0444397419841247,0.4668271580292838
30_etf_fx_proxies,2018-01,mop_tsmom,MOP 12M TSMOM,10.0,0.09974640537607549,0.1002525934669809,-0.044439741984124814,0.4668271580292838
30_etf_fx_proxies,2018-02,mop_tsmom,MOP 12M TSMOM,0.0,-0.11601495769819059,-0.11601495769819059,-0.15032144535398773,3.93642760074849
30_etf_fx_proxies,2018-02,mop_tsmom,MOP 12M TSMOM,2.0,-0.1167099829906465,-0.11601495769819059,-0.15032144535398773,3.93642760074849
30_etf_fx_proxies,2018-02,mop_tsmom,MOP 12M TSMOM,10.0,-0.11949008416047013,-0.11601495769819059,-0.15032144535398761,3.93642760074849
30_etf_fx_proxies,2018-03,mop_tsmom,MOP 12M TSMOM,0.0,-0.006020952540444102,-0.006020952540444102,-0.035152633313366266,2.4575193214082356
30_etf_fx_proxies,2018-03,mop_tsmom,MOP 12M TSMOM,2.0,-0.006519852815956684,-0.006020952540444102,-0.035152633313366266,2.4575193214082356
30_etf_fx_proxies,2018-03,mop_tsmom,MOP 12M TSMOM,10.0,-0.00851545391800701,-0.006020952540444102,-0.035152633313366266,2.4575193214082356
30_etf_fx_proxies,2018-04,mop_tsmom,MOP 12M TSMOM,0.0,-0.015367297312906536,-0.015367297312906536,-0.050187822792162495,1.2032046883619014
30_etf_fx_proxies,2018-04,mop_tsmom,MOP 12M TSMOM,2.0,-0.015607935567995113,-0.015367297312906536,-0.05018782279216227,1.2032046883619014
30_etf_fx_proxies,2018-04,mop_tsmom,MOP 12M TSMOM,10.0,-0.016570488588349752,-0.015367297312906536,-0.050187822792162384,1.2032046883619014
30_etf_fx_proxies,2018-05,mop_tsmom,MOP 12M TSMOM,0.0,-0.028125850124243734,-0.028125850124243734,-0.0691355623954889,0.8888625365013605
30_etf_fx_proxies,2018-05,mop_tsmom,MOP 12M TSMOM,2.0,-0.02830054380512348,-0.028125850124243734,-0.0691355623954889,0.8888625365013605
30_etf_fx_proxies,2018-05,mop_tsmom,MOP 12M TSMOM,10.0,-0.02899931852864257,-0.028125850124243734,-0.06913556239548879,0.8888625365013605
30_etf_fx_proxies,2018-06,mop_tsmom,MOP 12M TSMOM,0.0,-0.017308834159272868,-0.017308834159272868,-0.06443636412502995,0.7144060979406037
30_etf_fx_proxies,2018-06,mop_tsmom,MOP 12M TSMOM,2.0,-0.01744825038996556,-0.017308834159272868,-0.06443636412503062,0.7144060979406037
30_etf_fx_proxies,2018-06,mop_tsmom,MOP 12M TSMOM,10.0,-0.018005915312733656,-0.017308834159272868,-0.06443636412503051,0.7144060979406037
30_etf_fx_proxies,2018-07,mop_tsmom,MOP 12M TSMOM,0.0,0.00787082413454665,0.00787082413454665,-0.018357710913287306,1.6552148947799237
30_etf_fx_proxies,2018-07,mop_tsmom,MOP 12M TSMOM,2.0,0.007538131070023546,0.00787082413454665,-0.01835771091328764,1.6552148947799237
