source,scope,year,factor,label,return
updated,updated_post_paper_2010_latest,2021,TSMOM^FX,Currencies,-0.10058574776737006
updated,updated_post_paper_2010_latest,2021,TSMOM^FI,Fixed income,-0.49852130104700065
updated,updated_post_paper_2010_latest,2021,TSMOM^CM,Commodities,0.1432783139964069
updated,updated_post_paper_2010_latest,2022,TSMOM,Diversified,0.24740698630174984
updated,updated_post_paper_2010_latest,2022,TSMOM^EQ,Equity indices,-0.3866316987897166
updated,updated_post_paper_2010_latest,2022,TSMOM^FX,Currencies,0.08864450609097863
updated,updated_post_paper_2010_latest,2022,TSMOM^FI,Fixed income,1.298045366671349
updated,updated_post_paper_2010_latest,2022,TSMOM^CM,Commodities,0.1863757350478099
updated,updated_post_paper_2010_latest,2023,TSMOM,Diversified,-0.08142517301775376
updated,updated_post_paper_2010_latest,2023,TSMOM^EQ,Equity indices,-0.08329108863158996
updated,updated_post_paper_2010_latest,2023,TSMOM^FX,Currencies,-0.04324596036326622
updated,updated_post_paper_2010_latest,2023,TSMOM^FI,Fixed income,-0.1810677753955776
updated,updated_post_paper_2010_latest,2023,TSMOM^CM,Commodities,-0.08569333625082154
updated,updated_post_paper_2010_latest,2024,TSMOM,Diversified,0.03480191155358647
updated,updated_post_paper_2010_latest,2024,TSMOM^EQ,Equity indices,0.2827799189543765
updated,updated_post_paper_2010_latest,2024,TSMOM^FX,Currencies,-0.007496542418379493
updated,updated_post_paper_2010_latest,2024,TSMOM^FI,Fixed income,-0.13596950680098818
updated,updated_post_paper_2010_latest,2024,TSMOM^CM,Commodities,0.04094814245298539
updated,updated_post_paper_2010_latest,2025,TSMOM,Diversified,0.01773177553653471
updated,updated_post_paper_2010_latest,2025,TSMOM^EQ,Equity indices,0.34684073402706717
updated,updated_post_paper_2010_latest,2025,TSMOM^FX,Currencies,-0.14445017148948713
updated,updated_post_paper_2010_latest,2025,TSMOM^FI,Fixed income,-0.1062914669010604
updated,updated_post_paper_2010_latest,2025,TSMOM^CM,Commodities,0.054743290409652756
