surface,year,strategy,label,cost_bps_one_way,net_return,gross_return,max_drawdown,turnover
30_etf_fx_proxies,2023,always_long,Always-long control,0.0,0.19040198995027313,0.19040198995027313,-0.16838182669410762,2.4097592725315495
30_etf_fx_proxies,2023,always_long,Always-long control,2.0,0.18982956889634628,0.19040198995027313,-0.1684942353404416,2.4097592725315495
30_etf_fx_proxies,2023,always_long,Always-long control,10.0,0.18754238511115173,0.19040198995027313,-0.1689437716698453,2.4097592725315495
30_etf_fx_proxies,2024,always_long,Always-long control,0.0,0.13624698851311057,0.13624698851311057,-0.14222110240585983,2.6330636764539674
30_etf_fx_proxies,2024,always_long,Always-long control,2.0,0.13564484408788813,0.13624698851311057,-0.14234078677466921,2.6330636764539674
30_etf_fx_proxies,2024,always_long,Always-long control,10.0,0.13323915290100863,0.13624698851311057,-0.14281941863737557,2.6330636764539674
30_etf_fx_proxies,2025,always_long,Always-long control,0.0,0.4769643451603476,0.4769643451603476,-0.1462566328367303,3.4655246248039644
30_etf_fx_proxies,2025,always_long,Always-long control,2.0,0.47594078347511704,0.4769643451603476,-0.1463125083499104,3.4655246248039644
30_etf_fx_proxies,2025,always_long,Always-long control,10.0,0.47185279325986196,0.4769643451603476,-0.14653599269885786,3.4655246248039644
30_etf_fx_proxies,2026,always_long,Always-long control,0.0,0.20934999640936525,0.20934999640936525,-0.10614070552732369,2.6204334794865964
30_etf_fx_proxies,2026,always_long,Always-long control,2.0,0.20871458900636597,0.20934999640936525,-0.10617772084103949,2.6204334794865964
30_etf_fx_proxies,2026,always_long,Always-long control,10.0,0.20617565444691222,0.20934999640936525,-0.10632578209590349,2.6204334794865964
