variant,rebalance,lookback_month,eligible,status,longs,shorts,long_formation,short_formation,long_hold,short_hold,spread_hold,min_adv,median_adv
adv10m_momentum,2024-02-01,2024-01,202,traded,"PENDLE,UMA,PEOPLE","NFP,TRB,WLD",1.0492059315005722,-0.39713356134778904,0.32239918950944607,0.8652964509073425,-0.5428972613978964,74949404.91832499,260002235.71196836
adv10m_momentum,2024-03-01,2024-02,221,traded,"JASMY,ARKM,COTI","XMR,MANTA,ASTR",2.943605528256708,-0.12832709798435807,0.07001202989645716,-0.016415053680318332,0.08642708357677549,35195610.40516467,179425677.39224815
adv10m_momentum,2024-04-01,2024-03,252,traded,"WIF,1000FLOKI,TOKEN","CTSI,USTC,KAS",3.9103992164658763,-0.19654045212654314,-0.42967894967076886,-0.33361893425107664,-0.09606001541969222,23914143.94584333,94401050.862659
adv10m_momentum,2024-05-01,2024-04,247,traded,"BNX,HIGH,ONG","1000RATS,MYRO,PORTAL",0.5293508825136183,-0.607875992941349,0.3074124158341292,0.42775928843419114,-0.12034687260006194,39013586.359666675,91227167.30397083
adv10m_momentum,2024-06-01,2024-05,206,traded,"PEOPLE,1000PEPE,TRB","AEVO,ONG,BLZ",1.7525485768981595,-0.28104605701030355,-0.07682308280021773,-0.24118966455519544,0.1643665817549777,28856378.706201334,401951773.8234709
adv10m_momentum,2024-07-01,2024-06,201,traded,"KAS,NOT,TON","HIGH,XEM,OMG",0.27947197187565087,-0.6143331712998156,-0.05274310647110362,0.01323491117633883,-0.06597801764744245,19241185.44455666,101672170.040563
adv10m_momentum,2024-08-01,2024-07,184,traded,"STMX,BNX,ZEC","ZETA,ETHFI,STRK",0.671625472824248,-0.3484652909988742,-0.12863785833549732,-0.23008328699455508,0.10144542865905776,11479247.84705,96610827.06843084
adv10m_momentum,2024-09-01,2024-08,186,traded,"TRX,AAVE,FRONT","MYRO,REEF,ENA",0.19456207849219828,-0.4445859983340576,0.09885812802854377,2.3516815108707063,-2.2528233828421627,18365833.54949,80764343.92027666
adv10m_momentum,2024-10-01,2024-09,190,traded,"REEF,SUI,SAGA","SUN,DOGS,BOND",2.865274718387335,-0.38105927309138127,-0.2956293043844231,-0.12003773349497256,-0.17559157088945054,20450483.620976668,306783002.06597394
adv10m_momentum,2024-11-01,2024-10,193,traded,"POPCAT,MEW,TURBO","REEF,HMSTR,UNFI",0.5647759741108098,-0.5568282240750903,-0.0538618483978364,0.23278170522707797,-0.2866435536249144,82119868.78532332,283224250.1756699
adv10m_momentum,2024-12-01,2024-11,272,traded,"XLM,ALGO,XRP","KEY,POPCAT,BTCDOM",3.4666371220100367,-0.1635041245699265,-0.1822243644761893,-0.13215570405652252,-0.05006866041966679,12841507.583156668,243605102.8808281
adv10m_momentum,2025-01-01,2024-12,303,traded,"MORPHO,UXLINK,COW","CHILLGUY,BAN,BLZ",1.20276439644138,-0.6090966078035666,-0.2994807056282032,-0.34379944363366727,0.04431873800546404,26527909.692422,159604176.5379718
adv10m_momentum,2025-02-01,2025-01,265,traded,"SPELL,ACH,XRP","TROY,KOMA,CHILLGUY",0.7924079442679409,-0.6614950885631359,-0.37272813781571773,-0.13525707935719086,-0.23747105845852687,10970277.02143133,115996114.6452092
adv10m_momentum,2025-03-01,2025-02,243,traded,"BNX,BAN,BEL","AMB,GRIFFAIN,VINE",1.6102172152367757,-0.7254302328734111,0.12423208573558438,-0.16413513979416336,0.28836722552974775,11777763.642780926,129478175.29534367
