month,strategy,label,cost_bps_one_way,observations,start_ts,end_ts,gross_return,net_return,max_drawdown,turnover,average_abs_position
2015-07,composite_1_3_12m,Composite,0.0,23,2015-07-01T00:00:00+00:00,2015-07-31T00:00:00+00:00,0.05194948314534775,0.05194948314534775,-0.006267701552700511,0.5312129407273626,0.7586704523902198
2015-08,composite_1_3_12m,Composite,0.0,21,2015-08-03T00:00:00+00:00,2015-08-31T00:00:00+00:00,-0.026870735838978588,-0.026870735838978588,-0.05042069244704994,0.008681928680868478,0.7499885237093513
2015-09,composite_1_3_12m,Composite,0.0,22,2015-09-01T00:00:00+00:00,2015-09-30T00:00:00+00:00,0.004075296707389153,0.004075296707389153,-0.010806448986982686,0.5027996786961806,0.24718884501317076
2015-10,composite_1_3_12m,Composite,0.0,22,2015-10-01T00:00:00+00:00,2015-10-30T00:00:00+00:00,-0.01892384076132858,-0.01892384076132858,-0.045788173543291344,0.4978694330580616,0.7450582780712321
2015-11,composite_1_3_12m,Composite,0.0,21,2015-11-02T00:00:00+00:00,2015-11-30T00:00:00+00:00,-0.01745394277316581,-0.01745394277316581,-0.017483002779204337,0.9958285981867367,0.2507703201155046
2015-12,composite_1_3_12m,Composite,0.0,22,2015-12-01T00:00:00+00:00,2015-12-31T00:00:00+00:00,0.0010018799061606298,0.0010018799061606298,-0.02420695411952456,1.0288651058146208,0.7780947856991163
2016-01,composite_1_3_12m,Composite,0.0,20,2016-01-04T00:00:00+00:00,2016-01-29T00:00:00+00:00,-0.03800090014568236,-0.03800090014568236,-0.03340049525506883,0.05887758015924904,0.7192172055398671
2016-02,composite_1_3_12m,Composite,0.0,21,2016-02-01T00:00:00+00:00,2016-02-29T00:00:00+00:00,-0.02513998881080126,-0.02513998881080126,-0.024051258608605575,0.47898605662022087,0.24023114891964634
2016-03,composite_1_3_12m,Composite,0.0,22,2016-03-01T00:00:00+00:00,2016-03-31T00:00:00+00:00,-0.0024086360875663626,-0.0024086360875663626,-0.02655187685605942,0.838107132908902,0.5978759839892559
2016-04,composite_1_3_12m,Composite,0.0,21,2016-04-01T00:00:00+00:00,2016-04-29T00:00:00+00:00,0.009563368583645149,0.009563368583645149,-0.004647965117002717,0.4058913387045565,0.19198464528469922
2016-05,composite_1_3_12m,Composite,0.0,22,2016-05-02T00:00:00+00:00,2016-05-31T00:00:00+00:00,-0.03647444485695572,-0.03647444485695572,-0.04051947279014512,0.4128561823747756,0.6048408276594747
2016-06,composite_1_3_12m,Composite,0.0,22,2016-06-01T00:00:00+00:00,2016-06-30T00:00:00+00:00,-0.01779898868790475,-0.01779898868790475,-0.019184496892526104,0.8135777814881203,0.20873695382864552
2016-07,composite_1_3_12m,Composite,0.0,21,2016-07-01T00:00:00+00:00,2016-07-29T00:00:00+00:00,0.014159284151262774,0.014159284151262774,-0.020578949640722932,0.7466837961565764,0.5379468423279311
2016-08,composite_1_3_12m,Composite,0.0,23,2016-08-01T00:00:00+00:00,2016-08-31T00:00:00+00:00,-0.01983090065580073,-0.01983090065580073,-0.02494542515034337,0.04382997956218493,0.581776821890116
2016-09,composite_1_3_12m,Composite,0.0,22,2016-09-01T00:00:00+00:00,2016-09-30T00:00:00+00:00,0.0012243263391429338,0.0012243263391429338,-0.006639468258864967,0.3644886692946937,0.21728815259542217
2016-10,composite_1_3_12m,Composite,0.0,21,2016-10-03T00:00:00+00:00,2016-10-31T00:00:00+00:00,-0.007389607482346072,-0.007389607482346072,-0.011368595430824469,0.02013788124766211,0.2374260338430842
2016-11,composite_1_3_12m,Composite,0.0,22,2016-11-01T00:00:00+00:00,2016-11-30T00:00:00+00:00,0.020351895493418315,0.020351895493418315,-0.0030005007538037587,0.48111509912407485,0.2436890652809905
2016-12,composite_1_3_12m,Composite,0.0,21,2016-12-01T00:00:00+00:00,2016-12-30T00:00:00+00:00,0.004427805336554069,0.004427805336554069,-0.006008030231032246,0.008564680512287176,0.23512438476870334
2017-01,composite_1_3_12m,Composite,0.0,21,2017-01-03T00:00:00+00:00,2017-01-31T00:00:00+00:00,-0.01291459820037466,-0.01291459820037466,-0.012466069245244848,0.015832639855675484,0.25095702462437885
2017-02,composite_1_3_12m,Composite,0.0,20,2017-02-01T00:00:00+00:00,2017-02-28T00:00:00+00:00,0.00780025929005479,0.00780025929005479,-0.0035112444410624333,0.5132294263800851,0.2622724017557062
2017-03,composite_1_3_12m,Composite,0.0,23,2017-03-01T00:00:00+00:00,2017-03-31T00:00:00+00:00,-0.0006646102720984093,-0.0006646102720984093,-0.034471442969281285,0.5722376510476379,0.8345100528033443
2017-04,composite_1_3_12m,Composite,0.0,19,2017-04-03T00:00:00+00:00,2017-04-28T00:00:00+00:00,0.005188422813441118,0.005188422813441118,-0.005805986622558712,0.5455488758085927,0.28896117699475155
2017-05,composite_1_3_12m,Composite,0.0,23,2017-05-01T00:00:00+00:00,2017-05-31T00:00:00+00:00,-9.423937379282599e-05,-9.423937379282599e-05,-0.009346077388035834,0.014110558181832433,0.30307173517658387
2017-06,composite_1_3_12m,Composite,0.0,22,2017-06-01T00:00:00+00:00,2017-06-30T00:00:00+00:00,-0.0061440642648551425,-0.0061440642648551425,-0.01263587243313058,0.004569199648870537,0.2985025355277135
2017-07,composite_1_3_12m,Composite,0.0,21,2017-07-03T00:00:00+00:00,2017-07-31T00:00:00+00:00,-0.018793967175935955,-0.018793967175935955,-0.04261115675574678,1.2485267762874768,0.9500242407597634
