variant,date,equity
risk_off_2x_target003,2025-06-06,1.0939024967590196
risk_off_2x_target003,2025-06-13,1.0704232016398572
risk_off_2x_target003,2025-06-20,1.1425834952460134
risk_off_2x_target003,2025-06-27,1.0786531325847164
risk_off_2x_target003,2025-07-04,1.0527671145722028
risk_off_2x_target003,2025-07-11,1.0906394216276938
risk_off_2x_target003,2025-07-18,1.1848247452003093
risk_off_2x_target003,2025-07-25,1.2244721548176014
risk_off_2x_target003,2025-08-01,1.208936264082394
risk_off_2x_target003,2025-08-08,1.2511862351466307
risk_off_2x_target003,2025-08-15,1.1723355328741323
risk_off_2x_target003,2025-08-22,1.2633880805402096
risk_off_2x_target003,2025-08-29,1.2342330796785785
risk_off_2x_target003,2025-09-05,1.2302953386045983
risk_off_2x_target003,2025-09-12,1.1916568207307847
risk_off_2x_target003,2025-09-19,1.160738795793745
risk_off_2x_target003,2025-09-26,1.221851784406012
risk_off_2x_target003,2025-10-03,1.1705137870525781
risk_off_2x_target003,2025-10-10,1.2554044147458718
risk_off_2x_target003,2025-10-17,1.2658155966494418
risk_off_2x_target003,2025-10-24,1.5397013087916596
risk_off_2x_target003,2025-10-31,1.647880383629513
risk_off_2x_target003,2025-11-07,1.562761050231099
risk_off_2x_target003,2025-11-14,1.664706550014989
risk_off_2x_target003,2025-11-21,1.6675714788483285
risk_off_2x_target003,2025-11-28,1.6263737144030683
risk_off_2x_target003,2025-12-05,1.5976481609631783
risk_off_2x_target003,2025-12-12,1.6334783434650186
risk_off_2x_target003,2025-12-19,1.6763211348535128
risk_off_2x_target003,2025-12-26,1.5983245829319406
risk_off_2x_target003,2026-01-02,1.536862455861775
risk_off_2x_target003,2026-01-09,1.5113190536525525
risk_off_2x_target003,2026-01-16,1.6052996558130577
risk_off_2x_target003,2026-01-23,1.5521749585211697
risk_off_2x_target003,2026-01-30,1.4896485874391494
risk_off_2x_target003,2026-02-06,1.4928507643558568
risk_off_2x_target003,2026-02-13,1.6866165379995743
risk_off_2x_target003,2026-02-20,1.6196636230591117
risk_off_2x_target003,2026-02-27,1.8327372477930768
risk_off_2x_target003,2026-03-06,1.9195170795415704
risk_off_2x_target003,2026-03-13,2.046303749181495
risk_off_2x_target003,2026-03-20,2.2605371429232295
risk_off_2x_target003,2026-03-27,2.3813050858390112
risk_off_2x_target003,2026-04-03,2.5076014763740635
risk_off_2x_target003,2026-04-10,2.9630565956004196
risk_off_2x_target003,2026-04-17,3.0502365762951826
risk_off_2x_target003,2026-04-24,2.9962745260122667
risk_off_2x_target003,2026-05-01,3.276655353853669
risk_off_2x_target003,2026-05-08,3.2364035537677194
risk_off_2x_target003,2026-05-15,3.246907422420904
risk_off_2x_target003,2026-05-22,3.4042624933925056
