name,exit_model,filter_name,fast_ema,slow_ema,exposure,slice,start,end,trades,total_return,final_equity,annualized_multiple,max_dd,win_rate,profit_factor,avg_trade,median_trade,worst_trade,trades_per_day,avg_mfe_capture,avg_giveback,long_trades,short_trades,armed_trades,partial_trades
HYPE_1M_EMA_DEVIATION_TP_FAST21_SLOW96_C_staged_p2p2_dd1p8_sl2_slope_adx20_atr3p5_100,C_staged_p2p2_dd1p8_sl2,slope_adx20_atr3p5_100,21,96,2.0,fwd_last_20pct,2026-06-07 13:07:12+00:00,2026-06-26 04:24:00+00:00,191,-0.5109095872277336,0.48909041277226634,8.175326634884021e-07,-0.5212384769528654,0.2931937172774869,0.3043289423539326,-0.0037108624925319108,-0.00456895127993395,-0.02181513927556333,10.248613843677338,0.1538982121831187,0.00993572161452875,95,96,122,115
HYPE_1M_EMA_DEVIATION_TP_FAST21_SLOW96_C_staged_p2p2_dd1p8_sl2_slope_adx20_atr3p5_100,C_staged_p2p2_dd1p8_sl2,slope_adx20_atr3p5_100,21,96,2.0,recent_30d,2026-05-27 04:24:00+00:00,2026-06-26 04:24:00+00:00,308,-0.6691430050051997,0.33085699499480026,1.4178193774355563e-06,-0.673329847413172,0.30844155844155846,0.3710527155432593,-0.003544311469990465,-0.004721376852642231,-0.025207028251785,10.266666666666667,0.15721160068583595,0.011137256156173886,151,157,201,184
HYPE_1M_EMA_DEVIATION_TP_FAST21_SLOW96_C_staged_p2p2_dd1p8_sl2_slope_adx20_atr3p5_100,C_staged_p2p2_dd1p8_sl2,slope_adx20_atr3p5_100,21,96,2.0,recent_14d,2026-06-12 04:24:00+00:00,2026-06-26 04:24:00+00:00,138,-0.4426854375636575,0.5573145624363425,2.3765150145149678e-07,-0.45271680010470805,0.2536231884057971,0.25235778776996515,-0.004201917577187869,-0.005100941164102865,-0.02181513927556333,9.857142857142858,0.15197132755596843,0.0093280320807676,72,66,81,77
HYPE_1M_EMA_DEVIATION_TP_FAST21_SLOW96_C_staged_p2p2_dd1p8_sl2_slope_adx20_atr3p5_100,C_staged_p2p2_dd1p8_sl2,slope_adx20_atr3p5_100,21,96,3.0,full,2026-03-25 00:00:00+00:00,2026-06-26 04:24:00+00:00,945,-0.9869278666479314,0.013072133352068605,4.136734446551203e-08,-0.9872471690286,0.25502645502645505,0.3209876349124437,-0.004522152684144024,-0.005394036534681842,-0.037810542377677496,10.141298515471293,0.16591680411254983,0.011832781391019221,463,482,656,580
HYPE_1M_EMA_DEVIATION_TP_FAST21_SLOW96_C_staged_p2p2_dd1p8_sl2_slope_adx20_atr3p5_100,C_staged_p2p2_dd1p8_sl2,slope_adx20_atr3p5_100,21,96,3.0,train_first_60pct,2026-03-25 00:00:00+00:00,2026-05-19 21:50:24+00:00,570,-0.9250367801198854,0.07496321988011458,4.462573166302928e-08,-0.9272484112372571,0.20175438596491227,0.19170218928177474,-0.004511931257465904,-0.005110763171009721,-0.022131044466531184,10.194956179574316,0.1648480308907353,0.00835961460873154,280,290,409,358
HYPE_1M_EMA_DEVIATION_TP_FAST21_SLOW96_C_staged_p2p2_dd1p8_sl2_slope_adx20_atr3p5_100,C_staged_p2p2_dd1p8_sl2,slope_adx20_atr3p5_100,21,96,3.0,val_next_20pct,2026-05-19 21:50:24+00:00,2026-06-07 13:07:12+00:00,184,-0.4876989068761267,0.5123010931238733,2.028347412197629e-06,-0.5470536082637181,0.3804347826086957,0.5968228103724795,-0.0034699530741855696,-0.007115512779410744,-0.037810542377677496,9.87301019495618,0.1810511952362207,0.01912135922878404,88,96,125,107
HYPE_1M_EMA_DEVIATION_TP_FAST21_SLOW96_C_staged_p2p2_dd1p8_sl2_slope_adx20_atr3p5_100,C_staged_p2p2_dd1p8_sl2,slope_adx20_atr3p5_100,21,96,3.0,fwd_last_20pct,2026-06-07 13:07:12+00:00,2026-06-26 04:24:00+00:00,191,-0.6596130083653473,0.3403869916346527,6.720317971517603e-10,-0.6703222687020289,0.2931937172774869,0.304328942353933,-0.005566293738797864,-0.0068534269199009255,-0.03272270891334499,10.248613843677338,0.1538982121831187,0.014903582421793128,95,96,122,115
HYPE_1M_EMA_DEVIATION_TP_FAST21_SLOW96_C_staged_p2p2_dd1p8_sl2_slope_adx20_atr3p5_100,C_staged_p2p2_dd1p8_sl2,slope_adx20_atr3p5_100,21,96,3.0,recent_30d,2026-05-27 04:24:00+00:00,2026-06-26 04:24:00+00:00,308,-0.8117419681996889,0.18825803180031103,1.4795308730198601e-09,-0.8153005994865585,0.30844155844155846,0.3710527155432587,-0.005316467204985697,-0.0070820652789633474,-0.037810542377677496,10.266666666666667,0.15721160068583595,0.016705884234260834,151,157,201,184
HYPE_1M_EMA_DEVIATION_TP_FAST21_SLOW96_C_staged_p2p2_dd1p8_sl2_slope_adx20_atr3p5_100,C_staged_p2p2_dd1p8_sl2,slope_adx20_atr3p5_100,21,96,3.0,recent_14d,2026-06-12 04:24:00+00:00,2026-06-26 04:24:00+00:00,138,-0.5854396821755945,0.41456031782440556,1.0547195369560375e-10,-0.596538895735198,0.2536231884057971,0.25235778776996576,-0.006302876365781802,-0.007651411746154298,-0.03272270891334499,9.857142857142858,0.15197132755596843,0.013992048121151403,72,66,81,77
HYPE_1M_EMA_DEVIATION_TP_FAST21_SLOW96_C_staged_p2p5_dd1p2_sl1p5_none,C_staged_p2p5_dd1p2_sl1p5,none,21,96,1.0,full,2026-03-25 00:00:00+00:00,2026-06-26 04:24:00+00:00,1906,-0.9364121636995425,0.06358783630045749,2.0398319648148296e-05,-0.9370104399585879,0.25550891920251834,0.3158789442348849,-0.0014399102849445425,-0.002109465956518729,-0.009827635594419402,20.45430155607226,0.20671674349770378,0.0030290005718816232,953,953,1107,695
