name,fast_ema,slow_ema,exit_model,filter_name,exposure,month,trades,total_return,final_equity,annualized_multiple,max_dd,win_rate,profit_factor,avg_trade,median_trade,worst_trade,trades_per_day,avg_mfe_capture,avg_giveback,long_trades,short_trades,armed_trades,partial_trades
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p2_sl2_slope_adx20_atr3p5_100,8,21,D_exhaust_arm2p2_dd1p2_sl2,slope_adx20_atr3p5_100,1.0,2026-04,175,-0.2576725685967951,0.7423274314032049,0.025818326668904146,-0.25799543493552723,0.14857142857142858,0.26794072768541166,-0.001695064513233708,-0.002413725113013464,-0.00552049027994511,5.879882402351953,0.11274698479723798,0.002967173899301649,92,83,18,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p2_sl2_slope_adx20_atr3p5_100,8,21,D_exhaust_arm2p2_dd1p2_sl2,slope_adx20_atr3p5_100,1.0,2026-05,168,-0.2358383221867011,0.7641616778132989,0.0414205096760273,-0.2358383221867011,0.19047619047619047,0.4260518445125255,-0.0015856147442728976,-0.002761466740850037,-0.00844711118868907,5.4447245228664025,0.12861827416336974,0.004213823828522557,85,83,18,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p2_sl2_slope_adx20_atr3p5_100,8,21,D_exhaust_arm2p2_dd1p2_sl2,slope_adx20_atr3p5_100,1.0,2026-06,126,-0.18172189218271173,0.8182781078172883,0.05371032502999087,-0.18699663484864393,0.21428571428571427,0.5225470549676239,-0.001572116493934662,-0.0035428222233358495,-0.010430987821380132,5.029800681950489,0.12761108045739727,0.00606702262300519,64,62,15,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_B_devtrail_arm1p8_dd1p5_sl2_slope_adx20_atr3p5_100,8,21,B_devtrail_arm1p8_dd1p5_sl2,slope_adx20_atr3p5_100,1.0,2026-03,52,-0.06577401481436151,0.9342259851856385,0.027222934113725627,-0.07716431491860332,0.21153846153846154,0.42538532557280057,-0.001300499145526468,-0.002353101528208,-0.005622821125760234,7.540785498489426,0.18590248589878655,0.0028816114498953086,26,26,14,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_B_devtrail_arm1p8_dd1p5_sl2_slope_adx20_atr3p5_100,8,21,B_devtrail_arm1p8_dd1p5_sl2,slope_adx20_atr3p5_100,1.0,2026-04,175,-0.2628459518339685,0.7371540481660315,0.023699014038385532,-0.2631854368886346,0.16,0.23312558642155845,-0.0017365850469875542,-0.002380197534956162,-0.00552049027994511,5.879608026131591,0.12744395236756417,0.0027765366060999355,92,83,38,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_B_devtrail_arm1p8_dd1p5_sl2_slope_adx20_atr3p5_100,8,21,B_devtrail_arm1p8_dd1p5_sl2,slope_adx20_atr3p5_100,1.0,2026-05,168,-0.26595012333619805,0.734049876663802,0.025735814579439378,-0.26595012333619805,0.20238095238095238,0.3304511165015299,-0.0018288420152308012,-0.0027146516624972903,-0.00844711118868907,5.4447245228664025,0.1272307258166751,0.0040531240130203825,85,83,32,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_B_devtrail_arm1p8_dd1p5_sl2_slope_adx20_atr3p5_100,8,21,B_devtrail_arm1p8_dd1p5_sl2,slope_adx20_atr3p5_100,1.0,2026-06,126,-0.15719656762594159,0.8428034323740584,0.08253472171359748,-0.16295599957270035,0.24603174603174602,0.5747536446706017,-0.0013383962209184608,-0.0034328066468545236,-0.010430987821380132,5.03175351507252,0.14918564284056998,0.005671692552241069,64,62,27,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm1p8_dd1p8_sl2_slope_adx20_atr3p5_100,8,21,D_exhaust_arm1p8_dd1p8_sl2,slope_adx20_atr3p5_100,1.0,2026-03,52,-0.06530270641519986,0.9346972935848001,0.02795998251211882,-0.07540777011959954,0.21153846153846154,0.4315502749178325,-0.0012910798139726602,-0.002353101528208,-0.005622821125760234,7.540785498489426,0.18530040207915618,0.0029201479159116518,26,26,14,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm1p8_dd1p8_sl2_slope_adx20_atr3p5_100,8,21,D_exhaust_arm1p8_dd1p8_sl2,slope_adx20_atr3p5_100,1.0,2026-04,175,-0.26306445036656956,0.7369355496334304,0.02361501896007426,-0.26310133427661075,0.15428571428571428,0.23444580400368628,-0.0017382798844774482,-0.002413725113013464,-0.00552049027994511,5.879470847623714,0.12557255544051454,0.002808727488892886,92,83,38,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm1p8_dd1p8_sl2_slope_adx20_atr3p5_100,8,21,D_exhaust_arm1p8_dd1p8_sl2,slope_adx20_atr3p5_100,1.0,2026-05,168,-0.2655926400720664,0.7344073599279336,0.025884569487243637,-0.2655926400720664,0.19047619047619047,0.33230622826704176,-0.0018258365399131077,-0.0027146516624972903,-0.00844711118868907,5.4447245228664025,0.1243556190116193,0.00408153391161797,85,83,32,0
